secid,days_present,total_days,presence_percentage,is_continuous
RU000A0JUJG1,60,340,17.647058823529413,False
RU000A0JW0S4,59,340,17.352941176470587,False
RU000A0JW126,57,340,16.76470588235294,False
XS1964558339,56,340,16.470588235294116,False
XS1952156344,56,340,16.470588235294116,False
RU000A0JW1P8,55,340,16.176470588235293,False
XS1961080501,51,340,15.0,False
RU000A0JW3A6,48,340,14.117647058823529,False
XS2360292556,48,340,14.117647058823529,False
XS2337341528,46,340,13.529411764705882,False
XS2362683570,46,340,13.529411764705882,False
RU000A0JW5E3,45,340,13.23529411764706,False
RU000A0JWB59,43,340,12.647058823529411,False
RU000A0JT593,42,340,12.352941176470589,False
XS2363070850,36,340,10.588235294117647,False
XS1951067039,35,340,10.294117647058822,False
BYM000001917,31,340,9.117647058823529,False
BYM000001925,31,340,9.117647058823529,False
BYM000001941,31,340,9.117647058823529,False
XS2369557371,27,340,7.941176470588235,False
RU000A0JWBP5,26,340,7.647058823529412,False
RU000A0JUFV8,25,340,7.352941176470589,False
RU000A0JUFU0,25,340,7.352941176470589,False
RU000A0JVN56,25,340,7.352941176470589,False
AMUNIBB2DER6,24,340,7.0588235294117645,False
XS2143149834,21,340,6.176470588235294,False
XS2010044548,20,340,5.88235294117647,False
XS2116222451,19,340,5.588235294117648,False
XS1713474325,19,340,5.588235294117648,False
RU000A10B0C8,19,340,5.588235294117648,False
RU000A0JVN64,18,340,5.294117647058823,False
XS2369574384,18,340,5.294117647058823,False
RU000A10B7E9,17,340,5.0,False
RU000A0JVN98,13,340,3.823529411764706,False
RU000A109YY5,10,340,2.941176470588235,False
RU000A0JWC82,10,340,2.941176470588235,False
XS2369925511,9,340,2.6470588235294117,False
XS1843443273,8,340,2.3529411764705883,False
XS2276567604,8,340,2.3529411764705883,False
XS1927711454,7,340,2.0588235294117645,False
XS1843435337,6,340,1.7647058823529411,False
RU000A0JWD57,6,340,1.7647058823529411,False
XS2010043656,5,340,1.4705882352941175,False
XS2371857223,4,340,1.1764705882352942,False
RU000A0JWDN6,4,340,1.1764705882352942,False
RU000A10B4V0,1,340,0.29411764705882354,False
