date,secid,price,yield
2024-08-14,RU000A0JV755,125.23,
2024-08-14,RU000A0JT6B2,98.89,15.53
2024-08-14,RU000A0JTB96,88.73,71.92
2024-08-14,RU000A0JSGV0,88.12,18.22
2024-08-14,RU000A0JUT85,37.93,10.1
2024-08-14,RU000A0JS4L7,116.3,7.18
2024-08-15,RU000A0JV0T3,98.5,
2024-08-15,RU000A0JUKX4,102.07,10.76
2024-08-15,RU000A0JRJL7,122.96,6.32
2024-08-15,RU000A0JV0U1,100.63,15.5
2024-08-15,RU000A0JRU20,90.78,112.79
2024-08-15,RU000A0JRJB8,129.95,5.2
2024-08-15,RU000A0JS4K9,99.0,10.29
2024-08-15,RU000A0JR4U9,99.5,5.44
2024-08-15,RU000A0JUG98,75.05,22.05
2024-08-15,RU000A0JUAG0,95.1,42.62
2024-08-15,RU000A0JRU46,91.28,112.79
2024-08-15,RU000A0JV4R9,100.0,
2024-08-15,RU000A0JSQ58,100.75,15.65
2024-08-15,RU000A0JRZ74,85.79,17.84
2024-08-15,RU000A0JTZF1,116.05,
2024-08-15,RU000A0JU9K4,98.9,
2024-08-15,RU000A0JQAM6,98.88,33.77
2024-08-15,RU000A0JTFB2,96.99,9.51
2024-08-15,RU000A0JTW83,101.99,
2024-08-15,KG000A3LSJ06,95.9,18.9
2024-08-15,RU000A0JTU85,98.45,18.5
2024-08-15,KG000A3LSC78,96.5,19.47
2024-08-15,RU000A0JS4Z7,95.32,19.87
2024-08-15,RU000A1037P0,100.0,
2024-08-15,RU000A0JUAH8,97.5,18.42
2024-08-15,RU000A0JVNL1,99.85,
2024-08-15,RU000A0JT403,98.85,18.74
2024-08-15,RU000A0ZZAL5,98.3,
2024-08-15,RU000A0JU0N7,83.44,17.73
2024-08-15,RU000A0JS4J1,112.49,7.77
2024-08-15,RU000A0JV755,125.23,
2024-08-15,RU000A0JT6B2,99.38,15.15
2024-08-15,RU000A0JTB96,88.73,71.92
2024-08-15,RU000A0JSGV0,87.51,18.69
2024-08-15,RU000A0JUT85,37.93,10.1
2024-08-15,RU000A0JS4L7,116.3,7.18
2024-08-16,RU000A0JV0T3,98.5,
2024-08-16,RU000A0JUKX4,102.07,10.76
2024-08-16,RU000A0JRJL7,122.96,6.32
2024-08-16,RU000A0JV0U1,100.63,15.5
2024-08-16,RU000A0JRU20,90.78,131.37
2024-08-16,RU000A0JRJB8,129.95,5.19
2024-08-16,RU000A0JS4K9,99.0,10.29
2024-08-16,RU000A0JR4U9,99.5,5.44
2024-08-16,RU000A0JUG98,75.05,22.05
2024-08-16,RU000A0JUAG0,97.0,32.37
2024-08-16,RU000A0JRU46,91.28,112.79
2024-08-16,RU000A0JV4R9,100.0,
2024-08-16,RU000A0JSQ58,100.75,15.65
2024-08-16,RU000A0JRZ74,85.79,17.84
2024-08-16,RU000A0JTZF1,116.05,
2024-08-16,RU000A0JU9K4,98.9,
2024-08-16,RU000A0JQAM6,106.49,-46.15
2024-08-16,RU000A0JTFB2,96.99,9.51
2024-08-16,RU000A0JTW83,101.99,
2024-08-16,KG000A3LSJ06,95.79,19.02
2024-08-16,RU000A0JTU85,98.15,19.15
2024-08-16,KG000A3LSC78,96.5,19.47
2024-08-16,RU000A0JS4Z7,96.69,16.8
2024-08-16,RU000A1037P0,100.0,
2024-08-16,RU000A0JUAH8,97.37,19.51
2024-08-16,RU000A0JVNL1,99.85,
2024-08-16,RU000A0JT403,99.03,17.66
2024-08-16,RU000A0ZZAL5,98.3,
2024-08-16,RU000A0JU0N7,83.44,17.73
2024-08-16,RU000A0JS4J1,112.49,7.77
2024-08-16,RU000A0JV755,125.23,
2024-08-16,RU000A0JT6B2,99.38,15.15
2024-08-16,RU000A0JTB96,88.73,71.92
2024-08-16,RU000A0JSGV0,87.48,18.75
2024-08-16,RU000A0JUT85,37.97,10.11
2024-08-16,RU000A0JS4L7,116.3,7.18
2024-08-19,RU000A0JV0T3,98.5,
2024-08-19,RU000A0JUKX4,102.07,10.76
2024-08-19,RU000A0JRJL7,122.96,6.32
2024-08-19,RU000A0JV0U1,100.63,15.5
2024-08-19,RU000A0JRU20,90.78,131.37
2024-08-19,RU000A0JRJB8,129.95,5.19
2024-08-19,RU000A0JS4K9,98.51,10.39
2024-08-19,RU000A0JR4U9,91.01,61.04
2024-08-19,RU000A0JUG98,75.05,22.05
2024-08-19,RU000A0JUAG0,98.72,23.22
2024-08-19,RU000A0JRU46,91.28,112.79
2024-08-19,RU000A0JV4R9,100.0,
2024-08-19,RU000A0JSQ58,100.75,15.65
2024-08-19,RU000A0JRZ74,82.55,23.64
2024-08-19,RU000A0JTZF1,116.05,
2024-08-19,RU000A0JU9K4,98.9,
2024-08-19,RU000A0JQAM6,106.49,-46.15
2024-08-19,RU000A0JTFB2,96.99,9.51
2024-08-19,RU000A0JTW83,101.99,
2024-08-19,KG000A3LSJ06,95.94,18.88
2024-08-19,RU000A0JTU85,98.3,18.86
2024-08-19,KG000A3LSC78,96.5,19.47
2024-08-19,RU000A0JS4Z7,95.57,19.5
2024-08-19,RU000A1037P0,100.0,
2024-08-19,RU000A0JUAH8,98.63,13.28
2024-08-19,RU000A0JVNL1,99.85,
2024-08-19,RU000A0JT403,99.17,16.39
2024-08-19,RU000A0ZZAL5,98.3,
2024-08-19,RU000A0JU0N7,83.44,17.73
2024-08-19,RU000A0JS4J1,112.49,7.77
2024-08-19,RU000A0JV755,125.23,
2024-08-19,RU000A0JT6B2,102.44,12.86
2024-08-19,RU000A0JTB96,88.73,71.92
2024-08-19,RU000A0JSGV0,87.08,19.08
2024-08-19,RU000A0JUT85,37.97,10.11
2024-08-19,RU000A0JS4L7,116.3,7.18
2024-08-20,RU000A0JV0T3,98.5,
2024-08-20,RU000A0JUKX4,102.07,10.76
2024-08-20,RU000A0JRJL7,122.96,6.32
2024-08-20,RU000A0JV0U1,100.63,15.5
2024-08-20,RU000A0JRU20,89.0,179.83
2024-08-20,RU000A0JRJB8,129.95,5.19
2024-08-20,RU000A0JS4K9,98.51,10.39
2024-08-20,RU000A0JR4U9,91.01,61.04
2024-08-20,RU000A0JUG98,75.05,22.05
2024-08-20,RU000A0JUAG0,99.48,19.38
2024-08-20,RU000A0JRU46,91.28,112.79
2024-08-20,RU000A0JV4R9,100.0,
2024-08-20,RU000A0JSQ58,100.75,15.62
2024-08-20,RU000A0JRZ74,90.2,12.13
2024-08-20,RU000A0JTZF1,116.05,
2024-08-20,RU000A0JU9K4,98.9,
2024-08-20,RU000A0JQAM6,106.49,-46.15
2024-08-20,RU000A0JTFB2,96.99,9.51
2024-08-20,RU000A0JTW83,101.99,
2024-08-20,KG000A3LSJ06,95.98,18.85
2024-08-20,RU000A0JTU85,98.4,18.68
2024-08-20,KG000A3LSC78,100.0,16.16
2024-08-20,RU000A0JS4Z7,96.69,16.88
2024-08-20,RU000A1037P0,100.0,
2024-08-20,RU000A0JUAH8,97.73,17.93
2024-08-20,RU000A0JVNL1,99.85,
2024-08-20,RU000A0JT403,99.38,14.3
2024-08-20,RU000A0ZZAL5,98.3,
2024-08-20,RU000A0JU0N7,83.49,17.96
2024-08-20,RU000A0JS4J1,112.49,7.77
2024-08-20,RU000A0JV755,125.23,
2024-08-20,RU000A0JT6B2,102.5,12.81
2024-08-20,RU000A0JTB96,88.73,71.92
2024-08-20,RU000A0JSGV0,87.5,18.76
2024-08-20,RU000A0JUT85,37.97,10.11
2024-08-20,RU000A0JS4L7,116.3,7.18
2024-08-21,RU000A0JV0T3,98.5,
2024-08-21,RU000A0JUKX4,102.07,10.76
2024-08-21,RU000A0JRJL7,122.96,6.32
2024-08-21,RU000A0JV0U1,100.63,15.5
2024-08-21,RU000A0JRU20,89.0,179.83
