secid,boardid,name,tradedate,price,price_open,price_low,price_high,price_waprice,volume,value,yield,yield_atwap,maturity_date,duration,offer_date,accint,coupon_percent,coupon_value,face_value,face_unit,board_group,date
RU000A0JVNL1,TQCB,ВЭБUSD1P-1,2025-04-11,99.85,,,,,0,0.0,,,2025-07-17,,,612.11,3.09,15.41,1000.0,USD,58,2025-04-11
RU000A0ZZAL5,TQOD,ГТЛК 1P-11,2025-04-11,98.3,,,,,0,0.0,,,2033-06-03,,,0.08,0.1,0.25,1000.0,USD,193,2025-04-11
RU000A1037P0,TQOD,Экспо02ВК,2025-04-11,100.0,,,,,0,0.0,,,,,,3976.03,7.5,5609.59,150000.0,USD,193,2025-04-11
KG000A3LSC78,TQCB,Кыргыз. 01,2025-04-14,99.4,99.4,99.4,99.4,99.4,2,190.97,17.15,17.15,2025-12-25,8.13,,0.7858,15.5,3.88,100.0,KGS,58,2025-04-14
KG000A3LSJ06,TQCB,Кыргыз. 02,2025-04-14,96.72,96.7,96.7,96.97,96.73,1738,168124.57,20.75,20.73,2025-12-26,8.17,,0.725,14.5,3.63,100.0,RUB,58,2025-04-14
RU000A0JQAM6,TQCB,ДОМ.РФ15об,2025-04-14,100.49,100.49,100.49,100.49,100.49,9,9044.1,19.42,19.42,2028-09-15,5.1,,16.44,20.0,100.82,1000.0,RUB,58,2025-04-14
RU000A0JR4U9,TQCB,ГлДорога 3,2025-04-14,80.01,,,,,0,0.0,,,2028-10-30,,,24.46,11.09,55.3,500.0,RUB,58,2025-04-14
RU000A0JRJB8,TQCB,ЗСД 01,2025-04-14,100.11,,,,,0,0.0,,,2031-05-13,,,41.76,10.44,52.06,1000.0,RUB,58,2025-04-14
RU000A0JRJL7,TQCB,ЗСД 02,2025-04-14,100.0,,,,,0,0.0,,,2031-05-13,,,41.76,10.44,52.06,1000.0,RUB,58,2025-04-14
RU000A0JRU20,TQCB,СЗКК 03,2025-04-14,85.88,92.74,85.88,92.74,89.31,2,1146.74,56.8,44.28,2031-09-26,5.7,,2.3,13.06,41.81,642.0,RUB,58,2025-04-14
RU000A0JRU46,TQCB,СЗКК 04,2025-04-14,80.05,80.05,80.05,80.05,80.05,46,23640.36,82.06,82.06,2031-09-26,5.7,,2.3,13.06,41.81,642.0,RUB,58,2025-04-14
RU000A0JRZ74,TQCB,БМБанкБ03,2025-04-14,100.0,,,,,0,0.0,,,2025-07-16,,,0.02,0.01,0.05,1000.0,RUB,58,2025-04-14
RU000A0JS4J1,TQCB,ЗСД 03,2025-04-14,113.99,,,,,0,0.0,,,2032-02-06,,,15.91,9.84,49.07,1000.0,RUB,58,2025-04-14
RU000A0JS4K9,TQCB,ЗСД 04,2025-04-14,105.74,,,,,0,0.0,,,2032-02-06,,,15.91,9.84,49.07,1000.0,RUB,58,2025-04-14
RU000A0JS4L7,TQCB,ЗСД 05,2025-04-14,102.5,,,,,0,0.0,,,2032-02-06,,,15.91,9.84,49.07,1000.0,RUB,58,2025-04-14
RU000A0JS4Z7,TQCB,ВЭБ.РФ 21,2025-04-14,102.67,101.22,100.98,102.67,102.5,55,56373.1,18.46,18.56,2032-02-17,23.93,,25.18,19.15,95.49,1000.0,RUB,58,2025-04-14
RU000A0JS9X1,TQCB,СитиматНН,2025-04-14,,,,,,0,0.0,,,2036-12-20,,,,0.0,127.7,1000.0,RUB,58,2025-04-14
RU000A0JSGV0,TQCB,РЖД-32 обл,2025-04-14,89.1,88.83,88.81,89.71,89.29,40,35716.1,21.33,21.12,2032-06-25,13.9,,27.12,9.8,48.87,1000.0,RUB,58,2025-04-14
RU000A0JSQ58,TQCB,ФСК РС-22,2025-04-14,99.99,99.99,99.99,99.99,99.99,1,999.9,16.37,16.37,2027-07-21,3.3,2025-07-30,35.95,16.0,79.78,1000.0,RUB,58,2025-04-14
RU000A0JT403,TQCB,ВЭБ.РФ 18,2025-04-14,97.96,97.98,97.96,97.98,97.96,6,5877.8,18.97,18.97,2032-09-17,25.27,2027-09-28,7.96,17.09,85.22,1000.0,RUB,58,2025-04-14
RU000A0JT6B2,TQCB,ВЭБ.РФ 19,2025-04-14,95.2,95.03,94.44,96.4,95.38,43,41015.2,20.89,20.65,2032-09-23,11.33,2026-04-04,4.28,14.21,70.86,1000.0,RUB,58,2025-04-14
RU000A0JTB96,TQCB,ГлДорога 7,2025-04-14,97.6,,,,,0,0.0,,,2029-10-30,,,30.38,11.09,69.12,625.0,RUB,58,2025-04-14
RU000A0JTFB2,TQCB,ГлДорога 6,2025-04-14,113.48,113.39,113.39,113.48,113.44,2,1134.35,-8.99,-8.94,2028-11-22,7.5,,20.96,11.09,55.3,500.0,RUB,58,2025-04-14
RU000A0JTU85,TQCB,РЖД-28 обл,2025-04-14,100.58,100.97,99.8,101.0,100.96,5957,6014338.2,18.62,18.43,2028-03-21,29.0,,9.92,18.1,90.25,1000.0,RUB,58,2025-04-14
RU000A0JTW83,TQCB,ДОМ.РФ25об,2025-04-14,99.0,,,,,0,0.0,,,2026-10-01,,2026-07-03,3.25,18.25,22.75,500.0,RUB,58,2025-04-14
RU000A0JTYJ6,TQCB,ФСК РС-23,2025-04-14,,,,,,0,0.0,,,2048-04-27,,,14.12,10.52,26.23,1000.0,RUB,58,2025-04-14
RU000A0JTYK4,TQCB,ФСК РС-28,2025-04-14,,,,,,0,0.0,,,2048-04-27,,,14.12,10.52,26.23,1000.0,RUB,58,2025-04-14
RU000A0JTZF1,TQCB,ДОМ.РФ26об,2025-04-14,116.05,,,,,0,0.0,,,2029-11-01,,2025-05-06,42.21,21.4,52.18,1000.0,RUB,58,2025-04-14
RU000A0JU0N7,TQCB,БМБанкБ02,2025-04-14,93.58,,,,,0,0.0,,,2025-09-24,5.4,,0.01,0.01,0.05,1000.0,RUB,58,2025-04-14
RU000A0JU2K9,TQCB,ФСК РС-26,2025-04-14,,,,,,0,0.0,,,2048-06-30,,2047-07-09,21.9,10.52,26.23,1000.0,RUB,58,2025-04-14
RU000A0JU2L7,TQCB,ФСК РС-27,2025-04-14,,,,,,0,0.0,,,2048-06-30,,2047-07-09,21.9,10.52,26.23,1000.0,RUB,58,2025-04-14
RU000A0JU7S1,TQCB,ФСК РС-29,2025-04-14,,,,,,0,0.0,,,2048-09-07,,,2.12,11.06,27.57,1000.0,RUB,58,2025-04-14
RU000A0JU9K4,TQCB,Ситимат01,2025-04-14,98.9,,,,,0,0.0,,,2036-12-20,,,187.95,20.0,200.0,1000.0,RUB,58,2025-04-14
