Полное наименование,Код ценной бумаги,"Цена, %","Объем сделок за n дней, шт.",Доходность,"Дюрация, месяцев",Месяцы выплат
РСГ-Финанс ООО обл. БО-01,RU000A0JUAG0,101.17,12920,9.72,17.3,––-––-––-––-05-––-––-––-––-––-11-––
Вита Лайн БО-01,RU000A101DU4,101.32,12740,9.32,8.4,––-02-––-––-05-––-––-08-––-––-11-––
Башкирская содовая комп. 1P-01,RU000A0ZYR18,101.31,12179,7.12,15.23,01-––-––-04-––-––-07-––-––-10-––-––
СККН Финанс БО 01,RU000A102KF8,99.0,12141,7.98,15.1,––-––-––-––-––-06-––-––-09-––-––--12
ВсеИнструменты.ру ООО БО-01,RU000A0ZZXT0,100.29,11881,8.82,6.53,––-––-––-––-––-06-––-––-09-––-––--12
АО им. Т.Г. Шевченко 001P-01,RU000A100YP2,102.8,10549,11.74,15.83,01-––-––-04-––-––-07-––-––-10-––-––
Онлайн Микрофинанс БО-01,RU000A100CT0,100.63,10091,12.55,11.56,––-02-––-––-05-––-––-08-––-––-11-––
ТЕПЛОЭНЕРГО 001Р-01,RU000A102J57,100.68,10027,9.88,17.63,––-––-03-––-––-06-––-––-09-––-––--12
ГТЛК БО 001P-14,RU000A100FE5,102.5,9916,7.1,17.56,––-––-03-––-––-06-––-––-09-––-––--12
Калужская сбытовая комп 1P 01,RU000A0ZZYL5,101.6,9113,10.42,6.5,––-––-––-––-––-06-––-––-––-––-––--12
Онлайн Микрофинанс БО-02,RU000A101JF2,100.48,8469,12.5,9.26,––-––-––-––-––-06-07-08-09-10-11-––
РОЛЬФ ООО БО 001Р-01,RU000A1005Y9,102.02,8441,8.2,9.26,––-––-03-––-––-06-––-––-09-––-––--12
МОСКОВСКИЙ КРЕДИТНЫЙ БАНК П08,RU000A1016Y6,93.1,7920,7.35,18.93,––-––-––-––-––-––-––-––-––-––-––--12
МОСКОВСКИЙ КРЕДИТНЫЙ БАНК П07,RU000A101160,93.46,7375,7.85,17.66,––-––-––-––-––-––-––-––-––-––-11-––
Держава-Платформа БО-01Р-03,RU000A0ZZS73,99.95,6772,7.23,6.03,––-––-––-––-05-––-––-––-––-––-11-––
ФПК Гарант-Инвест БО 001P-06,RU000A1016U4,102.39,6748,11.24,17.33,––-––-03-––-––-06-––-––-09-––-––--12
Лидер-Инвест АО БО-П02,RU000A0ZYU39,99.4,6562,8.49,19.8,––-02-––-––-––-––-––-08-––-––-––-––
ДелоПортс ООО БО 001P-01,RU000A0JXVG0,102.0,6456,8.01,12.86,01-––-––-––-––-––-07-––-––-––-––-––
СофтЛайн Трейд 001P-02,RU000A0ZZZU3,102.12,6346,7.35,6.86,––-––-––-––-––-06-––-––-––-––-––--12
АПРИ Флай Плэнинг АО БО-П02,RU000A100K64,102.48,6126,12.03,8.66,01-––-––-04-––-––-07-––-––-10-––-––
АО ЛК Европлан БО-03,RU000A100W60,101.59,5888,7.47,15.8,––-––-03-––-––-––-––-––-09-––-––-––
Солид-Лизинг ООО БО-001-04,RU000A1005N2,99.58,5872,12.72,9.13,––-––-03-––-––-06-––-––-09-––-––--12
ЗАО ЛК Роделен БО 001Р-02,RU000A100W29,100.94,5824,11.81,7.5,––-––-––-––-05-––-––-––-––-––-––-––
БЭЛТИ-ГРАНД ООО БО-П02,RU000A100TT4,101.25,5465,12.54,19.7,––-––-––-––-––-––-––-––-––-––-––-––
ВсеИнструменты.ру ООО БО-02,RU000A101970,101.55,5090,9.17,7.0,––-––-03-––-––-06-––-––-09-––-––--12
МСБ-Лизинг 002Р-02,RU000A100DC4,101.92,4769,11.77,16.39,––-––-––-––-––-––-––-––-––-––-––-––
ТрансКомплектХолдинг ООО БО-П3,RU000A100AZ1,102.19,4594,7.34,10.93,––-––-––-04-––-––-––-––-––-10-––-––
МОСКОВСКИЙ КРЕДИТНЫЙ БАНК П04,RU000A100SF5,94.38,4582,7.25,15.23,––-––-––-––-––-––-––-––-09-––-––-––
МСБ-Лизинг 002P-04,RU000A102SN5,100.11,4521,11.74,16.8,01-02-03-04-05-06-07-08-09-10-11--12
Роял Капитал БО-П04,RU000A101X27,101.32,3649,13.16,13.0,01-––-––-04-––-––-07-––-––-10-––-––
Донской ломбард 001P,RU000A1024R4,102.35,3567,12.25,19.89,01-02-03-04-05-06-07-08-09-10-11--12
ФПК Гарант-Инвест БО 002Р-01,RU000A102DZ1,100.09,3500,10.62,16.8,––-02-––-––-05-––-––-08-––-––-11-––
Солид-Лизинг ООО БО-001-06,RU000A1018D6,101.52,3294,12.48,17.39,––-––-03-––-––-06-––-––-09-––-––--12
ЭБИС БО-П01,RU000A100VY0,101.78,3171,10.9,15.2,––-––-03-––-––-06-––-––-09-––-––--12
Электрощит-Стройсистема БО-П01,RU000A100QY0,101.57,2978,12.1,14.16,––-02-––-––-05-––-––-08-––-––-11-––
МОСКОВСКИЙ КРЕДИТНЫЙ БАНК П05,RU000A100WT8,94.18,2967,7.84,16.5,––-––-––-––-––-––-––-––-––-10-––-––
Завод КЭС 001P-01,RU000A1018L9,102.86,2825,12.6,17.26,––-––-03-––-––-06-––-––-09-––-––--12
АТОМ БО-П01,RU000A102VY6,100.09,2766,8.66,15.53,––-––-03-––-––-––-––-––-09-––-––-––
МСБ-Лизинг 002P-03,RU000A1028N4,101.4,2421,11.31,8.3,01-02-03-04-05-06-07-08-09-10-11--12
АО ЛК Европлан БО-06,RU000A100DG5,99.76,2249,7.64,13.53,––-––-––-––-05-––-––-––-––-––-11-––
ПИК СЗ (ПАО) БО-07,RU000A0JWP46,101.77,2186,7.22,13.73,01-––-––-––-––-––-07-––-––-––-––-––
Держава-Платформа БО-01Р-02,RU000A0ZZNL8,99.9,1932,8.38,6.03,––-––-––-––-05-––-––-––-––-––-11-––
РЕСО-Лизинг ООО БО-П-03,RU000A101ST4,100.21,1905,7.37,12.16,––-––-––-––-––-06-––-––-––-––-––--12
ЮАИЗ БО 1-002,RU000A100Q92,100.1,1323,10.05,14.16,––-02-––-––-05-––-––-08-––-––-11-––
ПР-Лизинг ООО БО 001Р-02,RU000A0ZZX35,101.0,1247,8.06,6.4,––-––-––-––-––-06-––-––-09-––-––--12
ЮАИЗ БО 1-001,RU000A1001L5,101.11,1161,7.45,7.86,01-––-––-04-––-––-07-––-––-10-––-––
УОМЗ ПО АО БО-П01,RU000A100EV2,101.69,1065,7.8,11.76,––-––-––-––-05-06-––-––-––-––-11--12
Роял Капитал БО-П03,RU000A1018F1,101.98,1004,11.75,6.83,––-––-––-––-––-06-––-––-09-––-––--12
РУСАЛ Братск БО-001P-02,RU000A100KL0,102.0,721,7.43,18.96,01-––-––-––-––-06-07-––-––-––-––-––
ПЮДМ ООО БО-П02,RU000A1020K7,102.76,591,11.8,13.43,01-02-03-04-––-06-07-08-09-10-11--12
ММЦБ ПАО БО-П01-01,RU000A1001T8,101.42,507,7.52,6.86,––-––-03-––-––-06-––-––-09-––-––--12
ВСК САО БО-001P-01,RU000A0JXNB8,99.57,421,7.65,10.43,––-––-––-04-––-––-––-––-––-10-––-––
Солид-Лизинг ООО БО-001-03,RU000A0ZZY42,100.65,399,11.75,6.6,––-––-03-––-––-06-––-––-09-––-––--12
ТрансФин-М ПАО 001P-02,RU000A0JXK99,97.01,253,7.99,9.19,––-02-––-––-––-––-––-08-––-––-––-––
СпецИнвестЛизинг 001P-02,RU000A101XB2,100.85,248,8.9,12.96,01-02-03-––-––-06-07-08-09-10-11--12
Трубная Мет.Комп. ОАО БО-05,RU000A0JWCM0,98.28,126,8.0,16.16,––-––-––-04-––-––-––-––-––-10-––-––
ПЮДМ ООО БО-П01,RU000A0ZZ8A2,101.1,124,12.0,11.1,––-––-––-––-––-––-––-––-––-––-––-––
ПНППК 001P-01,RU000A100TB2,101.5,29,10.1,14.63,––-––-03-––-––-06-––-––-09-––-––--12
ВБРР 001P-05,RU000A1025H2,98.51,16,7.17,15.66,––-––-03-––-––-06-––-––-09-––-––--12
ИКС 5 ФИНАНС 001P-06,RU000A100V46,100.0,10,7.52,10.03,––-––-03-––-––-––-––-––-09-––-––-––
МЕТАЛЛОИНВЕСТ ХК АО обл. 03,RU000A0JTLL9,100.05,2,7.75,19.23,01-––-––-––-––-––-07-––-––-––-––-––
МРСК Центра и Приволжья БО-02,RU000A101459,100.01,0,7.3,17.39,––-––-––-––-05-06-––-––-––-––-11-––
