Полное наименование,Код ценной бумаги,Нужна квалификация?,"Цена, %","Объем сделок за n дней, шт.",Доходность,"Дюрация, месяцев",Месяцы выплат
ЕвроТранс БО-001Р-01,RU000A105PP9,нет,91.1,54634,27.62,9.46,––-02-03-04-05-06-07-08-09-10-11--12
Группа ЛСР ПАО БО 001Р-07,RU000A103PX8,нет,84.77,53587,28.67,11.9,––-––-03-––-––-06-––-––-09-––-––--12
Селектел 001P-04R,RU000A1089J4,нет,93.94,52234,23.34,12.73,01-02-03-04-05-06-07-08-09-10-11--12
Ритейл Бел Финанс 001P-01,RU000A101QF7,нет,96.0,51770,26.58,3.46,––-02-––-––-05-––-––-––-––-––-––-––
ЕвроТранс БО-001Р-02,RU000A105TS5,нет,90.98,51283,27.0,10.83,01-02-03-04-05-06-07-08-09-10-11--12
ПАО ТГК-14 001Р-01,RU000A1066J2,нет,91.0,48968,25.01,13.73,01-––-––-04-05-––-07-––-––-10-––-––
ВУШ БО 001P-02,RU000A106HB4,нет,86.03,48090,25.64,15.5,01-––-––-04-––-––-07-––-––-10-––-––
Джи-групп 002P-03,RU000A106Z38,нет,91.86,47642,28.92,10.0,––-––-03-04-––-06-07-––-09-––-––--12
АБЗ-1 001P-05,RU000A1070X5,нет,88.28,47118,30.64,11.2,01-02-03-04-05-06-07-08-09-10-11--12
ПСБ Лизинг БО-П01,RU000A10AA10,нет,107.35,46638,21.48,17.96,01-02-03-04-05-06-07-08-09-10-11--12
ВУШ БО 001P-01,RU000A104WS2,нет,96.8,45264,25.28,4.36,––-––-03-––-––-06-––-––-––-––-––-––
ГЛОРАКС 001Р-02,RU000A108132,нет,92.41,44680,28.06,11.8,01-02-03-04-05-06-07-08-09-10-11--12
Интерлизинг 001Р-06,RU000A106SF2,нет,89.46,40585,30.11,9.9,––-02-––-––-05-––-––-08-––-––-11-––
ГруппаЧеркизово БО-001Р-05,RU000A105C28,нет,92.48,39167,23.54,8.23,––-––-––-04-––-––-07-––-––-10-––-––
Софтлайн 002Р-01,RU000A106A78,нет,89.45,39125,27.98,11.5,––-02-––-––-05-––-––-08-––-––-11-––
Сбербанк ПАО 001Р-SBER25,RU000A102YG7,нет,87.92,38327,20.45,13.36,––-––-––-04-––-––-––-––-––-10-––-––
Сбербанк ПАО 001Р-SBER29,RU000A103G42,нет,85.19,36618,19.94,17.13,01-––-––-––-––-––-07-08-––-––-––-––
Первое кол.бюро НАО 001Р-04,RU000A108CC9,нет,91.22,35298,26.53,16.7,01-––-––-04-––-––-07-––-––-10-––-––
Селигдар 001Р-01,RU000A105CS1,нет,91.45,34885,25.88,8.33,––-––-––-04-––-––-––-––-––-10-––-––
НоваБев Групп 002P БО-П04,RU000A102GU5,нет,91.09,31937,24.14,7.63,––-––-––-––-––-06-––-––-––-––-––--12
РОЛЬФ БО 001Р-05,RU000A10A6U8,нет,102.97,29267,25.2,13.3,01-02-03-04-05-06-07-08-09-10-11--12
Ростелеком ПАО 002P-14R,RU000A1085D5,нет,94.94,27314,21.19,12.73,––-––-––-04-––-––-07-––-––-10-––--12
Эталон-Финанс АО БО-П03,RU000A103QH9,нет,87.15,26890,29.52,9.33,––-––-03-––-––-06-––-––-09-––-––--12
