Полное наименование,Код ценной бумаги,"Цена, %","Объем сделок за n дней, шт.",Доходность,"Дюрация, месяцев",Месяцы выплат
ГК Самолет БО-П07,RU000A100YG1,100.33,186189,12.08,7.96,––-––-––-04-––-––-07-––-––-10-––-––
Сегежа Групп 001P-01R,RU000A101D13,96.5,181564,11.56,11.33,01-––-––-––-––-––-07-––-––-––-––-––
ГПБ (АО) БО-19,RU000A0ZYRY5,100.29,160304,10.72,11.8,––-02-––-––-––-––-––-08-––-––-––-––
ПИК-Корпорация 001Р-03,RU000A1026C1,95.97,150955,11.79,13.03,––-––-03-––-––-06-––-––-09-––-––--12
Сбербанк ПАО БО 001Р-06R,RU000A0ZZ117,96.84,148962,10.4,14.66,––-––-––-––-05-––-––-––-––-––-11-––
Сбербанк ПАО 001Р-SBER32,RU000A103G75,96.5,145972,10.32,17.23,––-02-––-––-––-––-––-08-––-––-––-––
КАМАЗ ПАО БО-П03,RU000A100FR7,99.68,137334,10.26,3.8,––-––-03-––-––-06-––-––-––-––-––-––
Сбербанк ПАО 001Р-SBER19,RU000A102CU4,93.2,128179,10.45,20.36,––-––-––-––-05-––-––-––-––-––-11-––
Республика Беларусь 03,RU000A100D30,99.1,125580,10.99,5.66,––-––-––-––-––-––-––-08-––-––-––-––
ГК Самолет БО-П09,RU000A102RX6,95.43,124107,12.01,21.76,––-02-––-––-––-––-––-08-––-––-––-––
Сбербанк ПАО 001Р-SBER18,RU000A102FR3,97.19,103020,10.07,9.76,––-––-––-––-––-06-––-––-––-––-––--12
РОСНАНО АО обл. 07,RU000A0JW1G7,100.0,101688,13.03,9.8,––-––-––-––-––-06-––-––-––-––-––--12
ГК Самолет БО-П08,RU000A101H43,99.35,100009,12.19,11.7,––-02-03-––-––-––-––-08-––-––-––-––
Республика Беларусь 04,RU000A100D63,99.1,95745,11.52,5.66,––-––-––-––-––-––-––-08-––-––-––-––
Сэтл-Групп ООО БО-001P-01,RU000A0ZYEQ9,99.4,93314,11.6,5.46,––-––-––-04-––-––-07-––-––-10-––-––
КАМАЗ ПАО БО-П07,RU000A101SM9,95.6,90256,11.11,15.16,––-––-03-––-––-06-––-––-09-––-––--12
Сбербанк ПАО 001Р-SBER22,RU000A102RQ0,96.51,87898,10.25,15.73,––-––-––-––-––-06-––-––-––-––-––--12
МОСКОВСКИЙ КРЕДИТНЫЙ БАНК 1P1,RU000A100WC4,98.85,82212,10.83,7.36,––-––-––-04-––-––-––-––-09-––-––-––
Группа ЛСР ПАО БО 001Р-04,RU000A100WA8,94.94,79716,12.4,20.06,––-––-03-04-––-06-07-––-09-––-––--12
Сбербанк ПАО БО 001P-16R,RU000A0ZZE20,98.0,73642,10.1,11.03,01-––-––-––-––-––-07-––-––-––-––-––
Сбербанк ПАО 001Р-SBER17,RU000A1025U5,93.34,71437,10.55,19.7,––-––-––-04-05-––-––-––-––-10-––-––
АЛЬФА-БАНК Б2Р10,RU000A102S80,92.86,66302,10.71,22.7,––-02-––-––-––-––-––-08-––-––-––-––
ПИК-Корпорация 001Р-04,RU000A103C46,96.2,64552,11.71,15.8,––-––-03-04-––-06-07-––-09-––-––--12
Промсвязьбанк 003P-01,RU000A101U38,98.54,63403,10.38,4.3,––-––-––-––-––-06-––-––-––-––-––-––
Хакасия 2016 об.35006,RU000A0JWXQ7,101.86,61588,11.08,14.53,––-––-––-––-––-––-––-––-––-––-––-––
ГПБ (АО) БО 001Р-05Р,RU000A1002E8,99.56,58783,10.17,11.43,01-––-––-––-––-––-07-––-––-––-––-––
АО ЭталонЛенСпецСМУ БО-001P-02,RU000A0ZYA66,99.47,49687,11.38,3.86,––-––-03-––-––-06-––-––-09-––-––-––
Мобильные ТелеСистемы 001P-13,RU000A101939,97.32,46630,10.39,10.06,––-––-03-––-––-06-––-––-09-––-––--12
ХК Новотранс 001P-01,RU000A1014S3,95.86,46184,11.94,21.03,––-02-03-––-05-06-––-08-––-––-11-––
АЛЬФА-БАНК АО БО 002Р-03,RU000A0ZZZ66,99.96,45618,10.27,4.33,––-––-––-––-––-06-––-––-––-––-––-––
ДФФ ООО БО 001Р-02,RU000A100J18,99.23,41380,11.05,4.46,––-––-03-––-––-06-––-––-––-––-––-––
ПИК СЗ (ПАО) БО-П03,RU000A0JXY44,100.32,40744,11.05,5.43,––-––-––-04-––-––-07-––-––-––-––-––
РЕСО-Лизинг ООО БО-П-06,RU000A100PE4,97.65,39979,11.85,17.0,01-––-––-––-––-––-––-08-––-––-––-––
Брусника 001P-01,RU000A101HU5,99.22,39685,13.37,7.96,––-––-03-––-––-06-––-––-09-––-––--12
Банк ВТБ (ПАО) Б-1-251,RU000A103YS0,99.04,39242,10.2,8.46,––-––-––-––-05-––-––-08-––-10-––-––
Русская Аквакультура 001Р-01,RU000A102TT0,96.8,38779,12.23,22.33,––-––-03-––-––-––-––-––-09-––-––-––
КТЖ Финанс ООО об.01,RU000A0JXS34,99.39,38097,11.42,3.76,––-––-––-––-––-06-––-––-––-––-––-––
ПР-Лизинг ООО БО 002Р-01,RU000A1022E6,97.5,37495,13.06,11.5,––-02-03-04-––-––-––-––-––-––-––-––
ОКЕЙ ООО БО 001Р-03,RU000A1014B9,93.9,37421,12.28,21.13,––-02-03-––-05-––-––-08-––-––-11-––
ДОМОДЕДОВО ФьюэлФ 001Р-01,RU000A0ZYM21,97.61,32277,12.25,10.06,––-––-––-––-––-06-––-––-––-––-––--12
СофтЛайн Трейд 001P-04,RU000A1029T9,96.33,31420,12.29,18.03,––-––-03-––-––-06-––-––-09-––-––--12
ВЭБ.РФ ПБО-001Р-17,RU000A100GY1,98.0,31195,10.34,15.73,––-––-––-––-––-06-––-––-––-––-––--12
КАМАЗ ПАО БО-П08,RU000A103DP0,97.73,30625,10.56,16.13,01-––-––-04-––-––-07-––-––-10-––-––
Балтийский лизинг ООО БО-П02,RU000A100JE7,99.72,30527,10.35,3.1,––-––-––-04-––-––-07-––-––-––-––-––
Магнит ПАО БО-003Р-05,RU000A1018X4,97.29,30227,10.37,10.16,––-––-––-––-––-06-––-––-––-––-––--12
Республика Казахстан 01,RU000A101RP4,92.45,29910,11.17,18.43,––-––-03-––-––-––-––-––-09-––-––-––
Транснефть ПАО БО-001P-05,RU000A0JXC24,99.18,28188,10.45,22.13,01-––-––-––-––-––-07-––-––-––-––-––
Селектел 001P-01R,RU000A102SG9,94.99,26785,12.12,22.13,––-02-––-––-––-––-––-08-––-––-––-––
КИВИ Финанс 001P-01,RU000A1028C7,93.19,25993,14.1,18.76,01-––-––-04-––-––-07-––-––-10-––-––
АО им. Т.Г. Шевченко 001P-01,RU000A100YP2,100.06,25752,14.22,7.96,––-––-––-04-––-––-07-––-––-10-––-––
Хэдхантер 001P-01R,RU000A102GY7,93.23,24604,10.93,20.8,––-––-03-––-––-06-––-––-09-––-––--12
Брусника 001P-02,RU000A102Y58,95.1,23735,13.5,23.4,01-––-––-04-––-––-07-––-––-10-––-––
ПАО ЛК Европлан 001P-02,RU000A1034J0,94.78,23636,12.83,15.46,––-02-––-––-05-––-––-08-––-––-11-––
ГруппаЧеркизово БО-001Р-02,RU000A1013Y3,96.7,23556,10.94,14.66,––-02-––-––-05-––-––-08-––-––-11-––
ЛЕГЕНДА БО 001P-02,RU000A101GW3,98.49,23329,14.57,6.66,––-––-03-––-––-06-––-––-09-––-––--12
Россельхозбанк АО БО-04R-Р,RU000A102713,92.94,23314,10.92,18.73,––-02-03-04-05-06-––-––-––-––-––-––
ГК Пионер БО 001P-04,RU000A1016F5,97.3,23311,14.31,13.53,––-––-03-––-––-06-––-––-09-––-––--12
РОСНАНО АО обл. 06,RU000A0JVVA7,100.19,22757,12.82,7.66,––-––-––-04-––-––-––-––-––-10-––-––
Мобильные ТелеСистемы 001P-07,RU000A100238,98.33,19303,10.46,21.83,01-––-––-04-––-––-07-––-––-10-––-––
МТС-Банк ПАО 001P-01,RU000A1034T9,96.48,18423,10.91,14.8,––-––-––-––-05-––-––-––-––-––-11-––
МЭФ Московской обл. 2017,RU000A0ZYML3,98.25,16347,10.19,10.03,––-––-03-––-––-06-––-––-09-––-––--12
Сэтл-Групп ООО БО-001P-02,RU000A100MG6,99.79,10516,11.44,10.76,01-––-––-04-––-––-07-––-––-10-––-––
