Полное наименование,Код ценной бумаги,"Цена, %","Объем сделок за n дней, шт.",Доходность,"Дюрация, месяцев",Месяцы выплат
Позитив Текнолоджиз 001Р-01,RU000A101YV8,94.79,14252,18.29,11.73,01-––-––-04-––-––-07-––-––-10-––-––
РОСБАНК БО-002P-08,RU000A102F28,95.98,14105,11.64,8.93,––-––-––-––-05-––-––-––-––-––-11-––
Верхбак цемент завод 1P-1R,RU000A0ZYLK7,98.0,13968,16.11,9.13,––-––-03-––-––-06-––-––-09-––-––--12
ВЭБ.РФ об. сер. 21,RU000A0JS4Z7,99.89,13262,11.42,11.83,––-––-––-––-––-––-––-––-––-––-––-––
Магнит ПАО БО-003Р-05,RU000A1018X4,96.36,13189,11.64,9.66,––-––-––-––-––-06-––-––-––-––-––--12
ОФЗ-АД 46022 19/07/23,SU46022RMFS8,94.788,13060,12.34,10.23,––-––-––-––-––-––-––-––-––-––-––-––
МОСКОВСКИЙ КРЕДИТНЫЙ БАНК П09,RU000A1016X8,89.0,12223,17.42,9.76,––-––-––-––-––-––-––-––-––-––-––--12
Лидер-Инвест АО БО-П02,RU000A0ZYU39,89.68,11842,21.77,11.46,––-02-––-––-––-––-––-08-––-––-––-––
ПАО НК Роснефть обл.07,RU000A0JTS06,94.1,11539,14.14,11.8,––-––-03-––-––-––-––-––-09-––-––-––
Мясничий БО-П03,RU000A1006B5,93.87,11469,22.68,11.06,––-––-––-––-––-––-––-––-––-––-––-––
Группа компаний Самолет БО-П02,RU000A0ZYEM8,91.31,11247,29.75,7.73,––-––-––-04-––-––-07-––-––-10-––-––
РОСНАНО АО обл. 06,RU000A0JVVA7,95.61,10944,21.6,7.16,––-––-––-04-––-––-––-––-––-10-––-––
ВЭБ.РФ ПБО-001Р-К399,RU000A104HU9,98.42,10615,13.08,11.66,––-02-––-––-––-––-––-––-––-––-––-––
ФПК Гарант-Инвест БО 002Р-01,RU000A102DZ1,93.5,10070,21.92,8.66,––-––-––-––-05-––-––-08-––-––-11-––
ГосТранспортЛизингКомп 001P-07,RU000A0ZYNY4,93.5,10012,18.64,10.16,01-––-––-04-––-––-07-––-––-10-––-––
Вита Лайн БО-01,RU000A101DU4,91.0,9927,23.87,10.8,––-02-––-––-05-––-––-08-––-––-11-––
КарМани БО-1-1,RU000A0ZYAQ7,97.6,9849,19.49,7.6,––-––-––-––-––-––-––-––-––-––-––-––
Россельхозбанк АО БО-02R-Р,RU000A101DD0,94.32,9784,13.51,10.7,––-––-––-––-––-––-––-––-––-––-––-––
Россельхозбанк (АО) БО-14,RU000A0JUW72,95.0,9737,17.51,7.03,––-––-––-––-––-––-––-––-––-––-––-––
ГосТранспортЛизингКомп БО-06,RU000A0JVWJ6,93.66,9332,18.54,7.73,––-––-––-––-––-––-––-––-––-––-––-––
ГПБ (АО) БО-18,RU000A0ZYRX7,93.27,9111,10.76,11.3,––-02-––-––-––-––-––-08-––-––-––-––
ЭнергоТехСервис 001Р-02,RU000A101TR6,97.0,9063,16.97,9.33,––-––-03-––-––-06-––-––-09-––-––--12
Новосибирск мун.обл. 2015,RU000A0JVUD3,100.02,8527,12.7,7.13,––-––-––-––-––-––-––-––-––-––-––-––
Банк ВТБ (ПАО) Б-1-130,RU000A104KG2,99.99,8117,10.38,11.36,01-02-03-04-05-06-07-08-09-10-11--12
Ярославская обл. об.2016г.,RU000A0JWHN7,98.97,8049,11.7,10.5,––-––-––-––-––-––-––-––-––-––-––-––
Россельхозбанк АО БО-01R-Р,RU000A101129,95.01,7070,15.63,8.03,––-––-––-––-––-––-––-––-––-––-––-––
Минфин Магаданской обл. 2017,RU000A0ZYL48,95.06,6970,15.32,9.56,––-––-03-––-––-06-––-––-09-––-––--12
ВсеИнструменты.ру ООО БО-02,RU000A101970,93.85,6957,23.23,9.3,––-––-03-––-––-06-––-––-09-––-––--12
ТЕПЛОЭНЕРГО 001Р-01,RU000A102J57,96.89,6873,15.01,9.16,––-––-03-––-––-06-––-––-09-––-––--12
Тойота Банк БО-001P-03,RU000A100YW8,95.77,6339,14.65,7.76,––-––-––-04-––-––-––-––-––-10-––-––
СуперОкс БО-П01,RU000A100W52,96.99,5761,22.3,6.66,––-––-03-––-––-06-––-––-09-––-––-––
МСБ-Лизинг 002Р-02,RU000A100DC4,94.66,5752,19.96,11.9,––-––-––-––-––-––-––-––-––-––-––-––
