secid,boardid,name,tradedate,price,price_open,price_low,price_high,price_waprice,volume,value,yield,yield_atwap,maturity_date,duration,offer_date,accint,coupon_percent,coupon_value,face_value,face_unit,board_group,date
RU000A105GS2,TQOY,ЮГК 1P1,2024-06-07,98.7099,98.9,98.7099,98.9,98.9528,21,20767.1,7.09,6.49,2024-11-19,5.37,,1.84,3.95,19.7,1000.0,CNY,245,2024-06-08
RU000A105M75,TQOY,МЕТАЛИН1P3,2024-06-07,95.9001,95.9028,95.9001,95.9028,97.1655,4,3836.06,6.25,5.31,2025-12-11,17.67,,15.67,3.25,16.21,1000.0,CNY,245,2024-06-08
RU000A105NH1,TQOY,АЛЬФАБ2Р20,2024-06-07,99.1601,99.1609,99.15,99.2994,99.1728,146,144792.37,5.69,5.67,2024-12-23,6.37,,18.3,4.0,20.05,1000.0,CNY,245,2024-06-08
RU000A105PQ7,TQOY,РУСАЛ 1Р2,2024-06-07,96.009,96.8,96.009,98.7997,97.2029,3,2916.09,6.88,6.0,2025-12-23,18.03,,7.9,3.95,9.85,1000.0,CNY,245,2024-06-08
RU000A1060Q0,TQOY,СКФ 1Р1CNY,2024-06-07,96.9927,97.2989,95.999,97.3,96.8959,851,824551.48,6.88,6.94,2026-03-24,20.83,,9.9,4.95,24.68,1000.0,CNY,245,2024-06-08
RU000A1061L9,TQOY,ЮГК 1P2,2024-06-07,99.49,99.4898,99.3,99.49,99.3644,116,115250.17,6.24,6.41,2025-04-01,9.63,,9.95,5.5,27.42,1000.0,CNY,245,2024-06-08
RU000A1063Z5,TQOY,ФосА1П1CHY,2024-06-07,99.56,99.7,99.4,99.75,99.5809,1561,1554458.11,10.44,10.16,2026-04-09,1.0,,7.26,4.65,11.59,1000.0,CNY,245,2024-06-08
RU000A1071S3,TQOY,МЕТАЛИН1P5,2024-06-07,99.2995,99.0201,99.02,99.5355,98.99,17,16846.52,6.25,6.43,2026-04-14,21.4,,8.19,5.75,28.67,1000.0,CNY,245,2024-06-08
RU000A1076U8,TQOY,РУСАЛ 1Р5,2024-06-07,98.2407,99.4973,97.9487,99.4973,98.714,61,60215.51,7.85,7.57,2026-05-08,22.03,,5.14,6.7,33.41,1000.0,CNY,245,2024-06-08
RU000A107RH8,TQOY,РУСАЛ 1Р6,2024-06-07,98.99,98.7,98.1505,99.2284,98.7648,464,458448.84,7.94,8.06,2026-08-05,24.3,,5.92,7.2,17.95,1000.0,CNY,245,2024-06-08
RU000A107U81,TQOY,УралСт1Р03,2024-06-07,99.0,98.91,98.9,99.1349,99.0221,790,782274.36,7.91,7.89,2026-02-19,19.53,,2.9,7.05,17.58,1000.0,CNY,245,2024-06-08
RU000A1080Z9,TQOY,СлавЭКО1Р3,2024-06-07,99.3,98.9,98.51,99.5,99.1064,187,185328.97,11.95,12.08,2026-03-12,19.13,,25.62,11.0,27.42,1000.0,CNY,245,2024-06-08
RU000A1087C3,TQOY,ГПБ3P6CNY,2024-06-07,99.89,100.1,99.89,100.1,100.0828,27,2699.52,5.1,5.03,2027-04-09,32.23,,0.81,5.0,2.51,100.0,CNY,245,2024-06-08
RU000A1089K2,TQOY,РУСАЛ 1Р7,2024-06-07,99.833,99.9494,99.8305,99.9494,99.8536,2108,2104841.83,8.22,8.21,2026-10-09,25.83,,12.12,7.9,19.7,1000.0,CNY,245,2024-06-08
KG000A3LSC78,TQCB,Кыргыз. 01,2024-06-07,97.9796,97.9995,93.0,98.3565,97.9226,790,78651.49,17.85,17.89,2025-12-25,16.5,,3.1518,15.5,3.88,100.0,KGS,58,2024-06-09
KG000A3LSJ06,TQCB,Кыргыз. 02,2024-06-07,97.39,97.52,97.03,98.5,97.45,2744,267390.61,17.21,17.16,2025-12-26,16.67,,2.8597,14.5,3.63,100.0,RUB,58,2024-06-09
RU000A0JQ7Z2,TQCB,РЖД-19 обл,2024-06-07,99.7,99.77,99.38,99.78,99.64,221,220207.4,12.04,12.89,2024-07-08,0.93,,32.48,7.85,39.14,1000.0,RUB,58,2024-06-09
RU000A0JQRD9,TQCB,РЖД-23 обл,2024-06-07,95.84,96.21,95.41,97.47,95.71,357,341666.9,15.88,16.14,2025-01-16,7.1,,30.32,7.85,39.14,1000.0,RUB,58,2024-06-09
RU000A0JRU20,TQCB,СЗКК 03,2024-06-07,97.6,97.6,97.6,97.6,97.6,2,1383.97,19.5,19.5,2031-09-26,3.87,,13.08,10.69,37.79,709.0,RUB,58,2024-06-09
RU000A0JRU46,TQCB,СЗКК 04,2024-06-07,94.5,94.5,94.5,94.5,94.5,10,6700.05,32.01,32.01,2031-09-26,3.87,,13.08,10.69,37.79,709.0,RUB,58,2024-06-09
RU000A0JS4Z7,TQCB,ВЭБ.РФ 21,2024-06-07,96.0,96.0,96.0,96.0,96.0,30,28800.0,15.95,15.95,2032-02-17,8.4,,25.68,9.28,46.27,1000.0,RUB,58,2024-06-09
RU000A0JS934,TQCB,ЕАБР11,2024-06-07,97.0,97.0,97.0,97.0,97.0,40,38800.0,15.18,15.18,2025-01-24,7.33,,34.62,9.5,47.37,1000.0,RUB,58,2024-06-09
RU000A0JSGV0,TQCB,РЖД-32 обл,2024-06-07,90.15,88.53,88.53,90.23,89.46,70,62624.7,16.16,16.63,2032-06-25,22.2,,41.35,9.8,48.87,1000.0,RUB,58,2024-06-09
