,AFLT_return,CBOM_return,PHOR_return,PLZL_return,RUAL_return,SBER_return,TATN_return,RISK_FREE_return,portfolio_return
2024-06-07,0.0052633445646391224,0.0,-0.001514677578288339,-0.0,-0.0,0.0,0.0,8.61083810813401e-05,0.0038347753674321237
2024-06-08,0.0,0.0,0.000728459249903055,-0.0,0.0,0.0,0.0,8.61083810813401e-05,0.0008145676309843951
2024-06-09,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,8.61083810813401e-05,8.61083810813401e-05
2024-06-10,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,8.61083810813401e-05,8.61083810813401e-05
2024-06-11,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,8.61083810813401e-05,8.61083810813401e-05
2024-06-12,-0.005653206650831341,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,8.61083810813401e-05,-0.005567098269750001
2024-06-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.61083810813401e-05,8.61083810813401e-05
2024-06-14,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,8.61083810813401e-05,8.61083810813401e-05
2024-06-15,0.0011811524992040743,-0.0,0.0,0.0,0.0,0.0,0.00023641693934028262,8.61083810813401e-05,0.001503677819625697
2024-06-16,-0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,8.61083810813401e-05,8.61083810813401e-05
2024-06-17,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,8.61083810813401e-05,8.61083810813401e-05
2024-06-18,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,8.61083810813401e-05,8.61083810813401e-05
2024-06-19,0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.003903462965017241,8.61083810813401e-05,-0.0038173545839359007
2024-06-20,0.005349024665484463,0.0,0.0,0.0,0.0,0.0,0.0,8.61083810813401e-05,0.005435133046565802
2024-06-21,-0.0,0.0005555695785066884,-0.0,-0.0,-0.0,0.0,3.413220471828741e-05,8.61083810813401e-05,0.0006758101643063159
