id,project,project_nick,type,category,title,body,publish_date,publish_date_t,fronturl,picture,badge,pay_option,data,_score,overview,text
67f4fe0d9a7947ac10c03c29,РБК,rbcnews,article,money,Кто главный фаворит в чемпионской гонке Российской премьер-лиги,"После 23-го тура Российской премьер-лиги (РПЛ) «Краснодар» продолжает лидировать в турнирной таблице, у «Зенита» и «Спартака» по 47 очков. Кто является фаворитом в борьбе за чемпионство РПЛ — в материале «РБК Спорт»",2025-04-12T11:33:00+03:00,1744446780,https://www.rbc.ru/sport/12/04/2025/67f4fe0d9a7947ac10c03c29,https://s0.rbk.ru/v6_top_pics/media/img/9/43/347441221700439.jpeg,,free,,0,,
67fa22539a7947ddcd22c5b5,РБК,rbcnews,short_news,money,Российским силовикам с 1 октября повысят оклады,,2025-04-12T11:28:46+03:00,1744446526,https://www.rbc.ru/rbcfreenews/67fa22539a7947ddcd22c5b5,https://s0.rbk.ru/v6_top_pics/media/img/9/11/347444467124119.jpeg,,free,,0,,
67fa1b6a9a79475ee06d2ae8,РБК,rbcnews,article,money,Министр обороны Британии заявил о критическом моменте на Украине,"В 2025 году в конфликте на Украине настал критический момент, считает Джон Хили. Он призвал союзников усилить поддержку Киева и обвинил Москву в том, что она продолжает «тянуть резину» в переговорах",2025-04-12T11:27:17+03:00,1744446437,https://www.rbc.ru/politics/12/04/2025/67fa1b6a9a79475ee06d2ae8,https://s0.rbk.ru/v6_top_pics/media/img/6/90/347444462192906.jpeg,,free,,0,,
67fa1f439a79475ee06d2af0,РБК,rbcnews,short_news,money,Умер режиссер первого фильма про Рэмбо Тед Котчефф,,2025-04-12T11:13:45+03:00,1744445625,https://www.rbc.ru/rbcfreenews/67fa1f439a79475ee06d2af0,https://s0.rbk.ru/v6_top_pics/media/img/7/39/347444455695397.jpeg,,free,,0,,
67fa21559a7947fe102b92d2,РБК,rbcnews,uploaded_video,money,Пресс-секретарь Белого дома молится перед каждым общением с журналистами,Видео,2025-04-12T11:10:28+03:00,1744445428,https://www.rbc.ru/?video_id=67fa21559a7947fe102b92d2,https://s0.rbk.ru/v6_top_pics/media/img/7/54/347444457792547.jpeg,video,free,,0,,
67fa19c79a794724636cab33,РБК,rbcnews,short_news,money,Иранские режиссеры получили условный срок за показ актрисы без хиджаба,,2025-04-12T10:53:31+03:00,1744444411,https://www.rbc.ru/rbcfreenews/67fa19c79a794724636cab33,https://s0.rbk.ru/v6_top_pics/media/img/8/84/347444442889848.jpeg,,free,,0,,
67fa14c89a794737db76cde3,РБК,rbcnews,short_news,money,Забытая посылка парализовала железнодорожное движение на западе Японии,,2025-04-12T10:29:58+03:00,1744442998,https://www.rbc.ru/rbcfreenews/67fa14c89a794737db76cde3,https://s0.rbk.ru/v6_top_pics/media/img/2/52/347444453428522.jpeg,,free,,0,,
67fa100f9a794730617fb35d,РБК,rbcnews,short_news,money,ТАСС сообщил о колото-резаных ранах у жертв теракта в «Крокусе»,,2025-04-12T10:10:58+03:00,1744441858,https://www.rbc.ru/rbcfreenews/67fa100f9a794730617fb35d,https://s0.rbk.ru/v6_top_pics/media/img/1/60/347444425151601.jpeg,,free,,0,,
67fa0d739a794720d15fcd89,РБК,rbcnews,article,money,Россия передала США данные о нарушении Киевом моратория на удары,"С момента достижения договоренности об отказе от атак на объекты энергетики Киев нарушил ее «более 60 раз», Россия со своей стороны соблюдает мораторий и фиксирует все случаи его нарушения, утверждают в МИДе",2025-04-12T10:08:40+03:00,1744441720,https://www.rbc.ru/politics/12/04/2025/67fa0d739a794720d15fcd89,https://s0.rbk.ru/v6_top_pics/media/img/8/30/347444426774308.jpeg,,free,,0,,
67f7f0a09a7947ab35bfc3f3,РБК,rbcnews,article,money,Социологи ВШЭ назвали факторы «невооруженных революций»,"Проанализировав протесты за 119 лет, ученые сделали вывод, что невооруженные революции вероятны в среднеразвитых странах с молодыми политическими режимами, большим населением, очень низким или очень высоким ростом экономики",2025-04-12T10:01:12+03:00,1744441272,https://www.rbc.ru/politics/12/04/2025/67f7f0a09a7947ab35bfc3f3,https://s0.rbk.ru/v6_top_pics/media/img/9/13/347443057477139.jpeg,,free,,0,,
67fa00ac9a7947a1a1cd1cb6,РБК,rbcnews,article,money,Bloomberg сообщил о росте перевозок российской нефти западными танкерами,"Доля перевозок российской нефти на западных танкерах или застрахованных западными компаниями резко возросла на фоне падения цен ниже потолка в $60, сообщает Bloomberg. Стоимость Urals опускалась ниже $50 впервые с июня 2023 года",2025-04-12T10:00:52+03:00,1744441252,https://www.rbc.ru/politics/12/04/2025/67fa00ac9a7947a1a1cd1cb6,https://s0.rbk.ru/v6_top_pics/media/img/3/57/347444422499573.jpeg,,free,,0,,
67f9fc4b9a7947503b21d88b,РБК,rbcnews,short_news,money,Два человека пострадали при пожаре в Приморье,,2025-04-12T09:58:47+03:00,1744441127,https://www.rbc.ru/rbcfreenews/67f9fc4b9a7947503b21d88b,,,free,,0,,
67fa0b609a7947681b99868d,РБК,rbcnews,short_news,money,Гражданина Украины не пустили в Россию из-за записей в телефоне,,2025-04-12T09:53:27+03:00,1744440807,https://www.rbc.ru/rbcfreenews/67fa0b609a7947681b99868d,https://s0.rbk.ru/v6_top_pics/media/img/4/56/347444675643564.jpeg,,free,,0,,
67fa05da9a7947a8ff2eee58,РБК,rbcnews,short_news,money,Глава МИД Ирана прибыл в Оман для проведения переговоров с США,,2025-04-12T09:40:09+03:00,1744440009,https://www.rbc.ru/rbcfreenews/67fa05da9a7947a8ff2eee58,https://s0.rbk.ru/v6_top_pics/media/img/9/21/347444602245219.jpeg,,free,,0,,
67f9ff3f9a79475c45dce7c4,РБК,rbcnews,short_news,money,В Нижегородской области автомобиль наехал на группу пешеходов,,2025-04-12T09:39:04+03:00,1744439944,https://www.rbc.ru/rbcfreenews/67f9ff3f9a79475c45dce7c4,https://s0.rbk.ru/v6_top_pics/media/img/7/59/347444686619597.jpeg,,free,,0,,
67f8f7499a79472525f96347,РБК,rbcnews,article,money,Как военные Габона организовали безопасные для них президентские выборы,В Габоне через полтора года после военного переворота проходят президентские выборы. Лидер предвыборной кампании — президент переходного периода Брис Олиги Нгема. Подробнее — в материале РБК,2025-04-12T09:32:15+03:00,1744439535,https://www.rbc.ru/politics/12/04/2025/67f8f7499a79472525f96347,https://s0.rbk.ru/v6_top_pics/media/img/7/24/347443709845247.jpeg,,free,,0,,
67fa07929a79470f5f9edcdf,РБК,rbcnews,short_news,money,Путин поздравил работников космической области с Днем космонавтики,,2025-04-12T09:32:02+03:00,1744439522,https://www.rbc.ru/rbcfreenews/67fa07929a79470f5f9edcdf,https://s0.rbk.ru/v6_top_pics/media/img/0/65/347444827276650.jpeg,,free,,0,,
67f8e7099a7947279e965418,РБК,rbcnews,article,money,Книгоиздатели нарастили доходы за счет роста спроса и повышения цен,"Рост спроса на книги и повышение цен из-за удорожания бумаги и услуг типографий позволили российским издательствам заметно увеличить доходы. Но они предупреждают о таких проблемах, как чрезмерное регулирование и сокращение розницы",2025-04-12T09:05:34+03:00,1744437934,https://www.rbc.ru/technology_and_media/12/04/2025/67f8e7099a7947279e965418,https://s0.rbk.ru/v6_top_pics/media/img/9/82/347443656543829.jpeg,,free,,0,,
67f9f7f49a7947152f52cf07,РБК,rbcnews,short_news,money,Министр коммерции Китая не исключил гуманитарный кризис из-за пошлин,,2025-04-12T08:51:44+03:00,1744437104,https://www.rbc.ru/rbcfreenews/67f9f7f49a7947152f52cf07,,,free,,0,,
67f9f31b9a794728540f98a8,РБК,rbcnews,short_news,money,Рубио сделал репост комментария с оценкой работы Уиткоффа,,2025-04-12T08:36:23+03:00,1744436183,https://www.rbc.ru/rbcfreenews/67f9f31b9a794728540f98a8,https://s0.rbk.ru/v6_top_pics/media/img/2/98/347444726162982.jpeg,,free,,0,,
67f9e40b9a7947ef88441de9,РБК,rbcnews,article,money,"Глава крупнейшей инвесткомпании допустил, что в США уже началась рецессия","США «очень близки к рецессии, если уже не в ней», считает глава BlackRock Ларри Финк. Хотя Трамп приостановил часть повышенных пошлин, этого шага оказалось недостаточно, чтобы восстановить доверие к экономике, сказал он",2025-04-12T08:29:19+03:00,1744435759,https://www.rbc.ru/economics/12/04/2025/67f9e40b9a7947ef88441de9,https://s0.rbk.ru/v6_top_pics/media/img/0/55/347444304859550.jpeg,,free,,0,,
67f9f97c9a794711dda0bea3,РБК,rbcnews,uploaded_video,money,Экипаж МКС поздравил россиян с Днем космонавтики,Видео,2025-04-12T08:25:56+03:00,1744435556,https://www.rbc.ru/?video_id=67f9f97c9a794711dda0bea3,https://s0.rbk.ru/v6_top_pics/media/img/3/37/347444355802373.jpeg,video,free,,0,,
67f9ebd99a7947ef88441df5,РБК,rbcnews,short_news,money,ФБР задержало мужчину из-за угроз в адрес Трампа и главы нацразведки,,2025-04-12T07:55:21+03:00,1744433721,https://www.rbc.ru/rbcfreenews/67f9ebd99a7947ef88441df5,,,free,,0,,
67f9ee3c9a794731b1c16732,РБК,rbcnews,short_news,money,На Кубани приостановили движение поездов на участке из-за обломков дрона,,2025-04-12T07:51:34+03:00,1744433494,https://www.rbc.ru/rbcfreenews/67f9ee3c9a794731b1c16732,,,free,,0,,
67f9e5679a79479aae0bcae4,РБК,rbcnews,short_news,money,Японские ученые заявили о разрушении Малого Магелланова Облака,,2025-04-12T07:42:59+03:00,1744432979,https://www.rbc.ru/rbcfreenews/67f9e5679a79479aae0bcae4,,,free,,0,,
67f9e7ff9a79473260affc6b,РБК,rbcnews,short_news,money,Минобороны отчиталось о перехвате и уничтожении 36 дронов над Россией,,2025-04-12T07:15:22+03:00,1744431322,https://www.rbc.ru/rbcfreenews/67f9e7ff9a79473260affc6b,https://s0.rbk.ru/v6_top_pics/media/img/2/35/347444717331352.jpeg,,free,,0,,
67f9d8fd9a79472001c3a56a,РБК,rbcnews,article,money,Трамп прошел тест на умственные способности и рассказал о добром сердце,"Трамп рассказал, что проверил когнитивные способности, чтобы отличаться от Байдена. По словам президента, у него выявлены доброе сердце и добрая душа",2025-04-12T06:44:12+03:00,1744429452,https://www.rbc.ru/politics/12/04/2025/67f9d8fd9a79472001c3a56a,https://s0.rbk.ru/v6_top_pics/media/img/4/77/347444295336774.jpeg,,free,,0,,
67f9dbd39a79473260affc63,РБК,rbcnews,short_news,money,Самолет Уиткоффа приземлился в столице Омана,,2025-04-12T06:38:11+03:00,1744429091,https://www.rbc.ru/rbcfreenews/67f9dbd39a79473260affc63,https://s0.rbk.ru/v6_top_pics/media/img/4/96/347444718319964.jpeg,,free,,0,,
67f9d7ba9a79477313da4742,РБК,rbcnews,short_news,money,В Ростовской области сбили беспилотники в пяти районах,,2025-04-12T06:19:41+03:00,1744427981,https://www.rbc.ru/rbcfreenews/67f9d7ba9a79477313da4742,https://s0.rbk.ru/v6_top_pics/media/img/6/16/347444714865166.jpeg,,free,,0,,
67f9d1859a794780b9473003,РБК,rbcnews,short_news,money,В Марокко самолет приземлился за пределами ВПП,,2025-04-12T06:03:24+03:00,1744427004,https://www.rbc.ru/rbcfreenews/67f9d1859a794780b9473003,,,free,,0,,
67f9c47e9a7947f84d2eb48e,РБК,rbcnews,short_news,money,МВД рассказало о мошенничестве с приложениями для отслеживания здоровья,,2025-04-12T05:30:08+03:00,1744425008,https://www.rbc.ru/rbcfreenews/67f9c47e9a7947f84d2eb48e,https://s0.rbk.ru/v6_top_pics/media/img/6/00/347444824494006.jpeg,,free,,0,,
67f9c1029a7947684e86bd70,РБК,rbcnews,article,money,"NYT объяснила, какую «болевую точку» показал Трамп в борьбе с Китаем","Трамп отступил от идеи масштабных пошлин из-за резко отрицательной реакции рынка, пишет NYT. Тем самым он показал Китаю, что не готов рисковать экономикой США ради своих целей",2025-04-12T05:12:51+03:00,1744423971,https://www.rbc.ru/economics/12/04/2025/67f9c1029a7947684e86bd70,https://s0.rbk.ru/v6_top_pics/media/img/7/52/347444239028527.jpeg,,free,,0,,
67f9be4a9a7947d2b4a9b7d8,РБК,rbcnews,short_news,money,iFly и Nordstar получили допуск к полетам в Абхазию,,2025-04-12T04:32:08+03:00,1744421528,https://www.rbc.ru/rbcfreenews/67f9be4a9a7947d2b4a9b7d8,https://s0.rbk.ru/v6_top_pics/media/img/5/59/347444823271595.jpeg,,free,,0,,
67f9b5fb9a7947423c73e6aa,РБК,rbcnews,short_news,money,Экипаж МКС поздравил россиян с Днем космонавтики,,2025-04-12T04:02:46+03:00,1744419766,https://www.rbc.ru/rbcfreenews/67f9b5fb9a7947423c73e6aa,https://s0.rbk.ru/v6_top_pics/media/img/0/79/347444711118790.jpeg,,free,,0,,
67f9af839a794750b3a7c90b,РБК,rbcnews,short_news,money,В Белом доме портрет Обамы заменили на картину с Трампом после покушения,,2025-04-12T03:39:11+03:00,1744418351,https://www.rbc.ru/rbcfreenews/67f9af839a794750b3a7c90b,https://s0.rbk.ru/v6_top_pics/media/img/8/71/347444181606718.jpeg,,free,,0,,
