date,AFKS,ALRS,GAZP,GMKN,LKOH,MAGN,MTSS,MVID,NVTK,PHOR,ROSN,RUAL,SBER,SIBN,SNGS,TATN,portfolio_return,risk_free_return
2024-06-02,0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.00011481117477512015,0.0002870279369378004
2024-06-03,0.0,0.0,-0.0,-0.0,2.674609684835807e-15,0.0,0.0,0.0,-0.0,3.3080322175674352e-15,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.00011481117477870974,0.0002870279369378004
2024-06-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.3951387990332786e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.00011481117477428307,0.0002870279369378004
2024-06-05,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,4.812054497406447e-15,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.00011481117477800738,0.0002870279369378004
2024-06-06,-0.0,-0.0,0.0004063860667616612,0.0,-0.0,-0.0,-0.0,0.0,3.277173075042827e-15,-8.476974265544875e-16,0.0,0.0,-0.0,0.0,0.0,0.0,0.00035864281483357453,0.0002870279369378004
2024-06-07,0.0,0.0,0.0007961165048508844,0.0,0.0,0.0,0.0,0.0,6.883297219315023e-16,-7.13632323167977e-15,3.684400005981273e-15,-0.0,0.0,0.0,0.0,0.0,0.0005924810776839927,0.0002870279369378004
2024-06-08,0.0,-0.0,-0.0,0.0,0.0,,0.0,0.0,8.637393455791788e-16,3.43209719542411e-15,0.0,0.0,0.0,2.286255166110102e-15,0.0,0.0,0.00011481117477906941,0.0002870279369378004
2024-06-09,0.0,0.0,0.0,0.0,0.0,,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.00011481117477512015,0.0002870279369378004
2024-06-10,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.00011481117477512015,0.0002870279369378004
2024-06-11,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.00011481117477512015,0.0002870279369378004
2024-06-12,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-1.5400458993303504e-14,-0.0,-0.0,-0.0,-0.0,-0.0,-0.002495909376947794,-0.0,-0.0,-0.0,-0.0013827344514027963,0.0002870279369378004
2024-06-13,0.0,0.0,-0.006939605623809138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.004048952199510363,0.0002870279369378004
2024-06-14,0.0013311477909414085,-0.0,-0.002026247596747838,0.0,0.0,0.0,2.7353127830862437e-15,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0003022487087070963,0.0002870279369378004
2024-06-15,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,8.971758998583203e-16,0.0,0.0,4.865057352695143e-17,0.0,0.00024162232129834897,0.000259784567554697,0.0002870279369378004
2024-06-16,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.00011481117477512015,0.0002870279369378004
2024-06-17,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.00011481117477512015,0.0002870279369378004
2024-06-18,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.00011481117477512015,0.0002870279369378004
2024-06-19,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-1.2977574677100521e-14,-0.0,-0.0013895781637612156,-3.1975260730480627e-15,-0.0,-0.003989408649572589,-0.0031125809132348677,0.0002870279369378004
2024-06-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00011481117477512015,0.0002870279369378004
2024-06-21,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-3.4783379071370297e-15,-0.0,-0.0,-5.575836547002474e-15,-0.0,3.488372092996576e-05,0.0001357414073276671,0.0002870279369378004
2024-06-22,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,1.2407818544711953e-15,-5.6630486077919355e-05,0.0,0.0,0.0,-0.0004184829991250108,-0.00017025691634589346,0.0002870279369378004
2024-06-23,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-3.6282817611824293e-16,-0.0,0.0,0.0,0.0,0.0,0.0,0.00011481117477490246,0.0002870279369378004
2024-06-24,-0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,-4.859241696104262e-15,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.00011481117477220461,0.0002870279369378004
2024-06-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00011481117477512015,0.0002870279369378004
2024-06-26,0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,0.00011481117477512015,0.0002870279369378004
2024-06-27,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,-1.3532025430777717e-15,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,0.00011481117477430823,0.0002870279369378004
2024-06-28,0.0,-0.0,-0.0003009079118015402,0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,-6.573357230580395e-05,0.0002870279369378004
2024-06-29,8.589835361430542e-05,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-6.546634761434157e-17,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0001663501869436641,0.0002870279369378004
2024-06-30,0.0,0.0,0.0,-0.0,3.496654985683802e-16,-0.0,0.0,0.0,4.911775585855398e-16,0.0,0.0,-0.0,0.0,0.0,-3.023780534941168e-16,0.0,0.00011481117477544323,0.0002870279369378004
2024-07-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.00011481117477512015,0.0002870279369378004
2024-07-02,0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,6.12466625577442e-15,6.711484820281272e-15,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.00011481117478282184,0.0002870279369378004
2024-07-03,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-5.22873359862989e-15,0.0,6.125583177728167e-16,-0.0,-0.0,-0.0,-3.2035093205643006e-15,-0.0010641891891811244,-0.0005237023387382462,0.0002870279369378004
2024-07-04,-0.0,-0.0,-0.0,-0.0,-4.962790272915959e-15,-0.0,-0.0,-0.0,-2.141559129051333e-15,-0.0,-8.528390054116972e-15,-0.0,-0.0,-0.0,-0.0,-0.0008521516829931196,-0.0003964798350301313,0.0002870279369378004
2024-07-05,0.0,0.0,0.0,0.0,3.816725425299465e-15,0.0,0.0,-0.0,1.3793414122704533e-15,-0.0,-3.8211009935592106e-15,0.0,0.0,0.0,7.735768878914086e-17,-0.0012015448433609415,-0.0006061157312405733,0.0002870279369378004
2024-07-06,0.0,-0.0,-0.0,0.0,-8.236563807902105e-17,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,,0.0,-0.0,0.00011481117477507073,0.0002870279369378004
2024-07-07,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,,0.0,0.0,0.00011481117477512015,0.0002870279369378004
2024-07-08,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.00011481117477512015,0.0002870279369378004
