secid,boardid,name,tradedate,price,price_open,price_low,price_high,price_waprice,volume,value,yield,yield_atwap,maturity_date,duration,offer_date,accint,coupon_percent,coupon_value,face_value,face_unit,board_group,date
RU000A105M75,TQOY,МЕТАЛИН1P3,2025-03-21,97.0,97.9799,96.9,97.9799,97.0015,3359,3258312.66,7.76,7.76,2025-12-11,8.63,,8.82,3.25,16.21,1000.0,CNY,245,2025-03-23
RU000A105N25,TQOY,БДеньг-Ю01,2025-03-21,99.1721,99.1,97.0,99.2996,98.4067,744,73214.17,9.12,9.86,2026-06-03,13.87,,0.24,8.0,0.66,100.0,CNY,245,2025-03-23
RU000A1060Q0,TQOY,СКФ 1Р1CNY,2025-03-21,98.1986,97.6101,96.4503,99.5,97.9045,1129,1105805.59,6.96,7.29,2026-03-24,11.73,,24.14,4.95,24.68,1000.0,CNY,245,2025-03-23
RU000A1061L9,TQOY,ЮГК 1P2,2025-03-21,100.0,99.9994,99.8387,100.03,100.0319,399,398972.92,5.48,3.99,2025-04-01,0.27,,25.77,5.5,27.42,1000.0,CNY,245,2025-03-23
RU000A1071S3,TQOY,МЕТАЛИН1P5,2025-03-21,98.4,98.3991,98.3991,98.4,98.2628,91,89543.92,7.48,7.62,2026-04-14,12.37,,24.73,5.75,28.67,1000.0,CNY,245,2025-03-23
RU000A1076U8,TQOY,РУСАЛ 1Р5,2025-03-21,97.6,98.2892,97.51,98.2892,97.5951,226,220564.89,9.18,9.19,2026-05-08,13.07,,24.41,6.7,33.41,1000.0,CNY,245,2025-03-23
RU000A107RH8,TQOY,РУСАЛ 1Р6,2025-03-21,97.6,97.7694,97.5,97.9799,97.56,2974,2902468.5,9.4,9.43,2026-08-05,15.83,,8.68,7.2,17.95,1000.0,CNY,245,2025-03-23
KG000A3LSJ06,TQCB,Кыргыз. 02,2025-03-24,95.71,95.98,95.49,95.98,95.72,4146,396871.97,22.03,22.01,2025-12-26,8.57,,3.5444,14.5,3.63,100.0,RUB,58,2025-03-24
RU000A0JS4Z7,TQCB,ВЭБ.РФ 21,2025-03-24,103.11,100.31,99.9,105.1,101.45,225,228271.4,18.26,19.2,2032-02-17,24.6,,14.17,19.15,95.49,1000.0,RUB,58,2025-03-24
RU000A0JSGV0,TQCB,РЖД-32 обл,2025-03-24,91.38,91.68,91.01,91.68,91.35,19,17356.6,18.38,18.41,2032-06-25,14.63,,21.48,9.8,48.87,1000.0,RUB,58,2025-03-24
RU000A0JUAH8,TQCB,РЖД-30 обл,2025-03-24,101.5,101.56,101.36,101.63,101.5,156,158341.0,20.65,20.65,2028-11-07,7.1,,81.37,22.5,112.19,1000.0,RUB,58,2025-03-24
RU000A105104,TQOY,РУСАЛ БО05,2025-03-24,99.84,99.9999,99.583,100.0999,99.9525,541,540808.0,9.12,8.77,2027-07-28,4.23,2025-08-04,12.58,8.5,42.38,1000.0,CNY,245,2025-03-24
RU000A105112,TQOY,РУСАЛ БО06,2025-03-24,100.35,100.0987,100.0977,100.4,100.1534,33,33061.29,7.55,8.15,2027-07-28,4.23,2025-08-04,12.58,8.5,42.38,1000.0,CNY,245,2025-03-24
RU000A1054W1,TQOY,Полюс Б1P2,2025-03-24,92.6739,92.9998,92.2027,92.9998,92.4668,4895,4529190.44,7.28,7.38,2027-08-24,28.23,,2.81,3.8,18.95,1000.0,CNY,245,2025-03-24
RU000A1057D4,TQOY,МЕТАЛИН1P2,2025-03-24,91.6033,91.7895,91.4,92.0898,91.9446,1151,1058440.56,7.67,7.5,2027-09-10,28.67,,1.01,3.7,9.22,1000.0,CNY,245,2025-03-24
RU000A1057S2,TQOY,Роснфт2P12,2025-03-24,101.89,101.9969,101.5009,101.9969,101.4437,211,214653.44,5.02,5.98,2032-09-07,5.83,,1.48,9.0,44.88,1000.0,CNY,245,2025-03-24
RU000A105C44,TQOY,РУСАЛ 1Р1,2025-03-24,99.7001,99.8311,99.271,99.9869,99.5875,197,196179.73,7.55,9.02,2025-04-24,1.0,,15.51,3.75,18.7,1000.0,CNY,245,2025-03-24
RU000A105EW9,TQOY,Сегежа3P1R,2025-03-24,92.9985,92.5805,92.3064,93.6991,92.53,754,699725.69,17.28,18.24,2037-10-22,7.43,2025-11-06,5.23,4.15,10.35,1000.0,CNY,245,2025-03-24
RU000A105M75,TQOY,МЕТАЛИН1P3,2025-03-24,97.9473,96.8,96.6003,97.9799,97.0237,1888,1831957.71,6.32,7.74,2025-12-11,8.6,,9.08,3.25,16.21,1000.0,CNY,245,2025-03-24
RU000A105N25,TQOY,БДеньг-Ю01,2025-03-24,99.2899,99.2399,98.4,99.3,99.0168,348,34534.96,9.01,9.27,2026-06-03,13.83,,0.31,8.0,0.66,100.0,CNY,245,2025-03-24
RU000A1060Q0,TQOY,СКФ 1Р1CNY,2025-03-24,98.1883,98.3152,97.7071,98.3152,97.995,201,197120.35,6.98,7.19,2026-03-24,12.0,,24.55,4.95,24.68,1000.0,CNY,245,2025-03-24
RU000A1061L9,TQOY,ЮГК 1P2,2025-03-24,99.8439,100.0,99.8434,100.079,99.7617,175,175011.72,14.19,19.07,2025-04-01,0.23,,26.22,5.5,27.42,1000.0,CNY,245,2025-03-24
RU000A1071S3,TQOY,МЕТАЛИН1P5,2025-03-24,98.39,98.0039,98.0039,98.4661,98.156,35,34350.68,7.49,7.74,2026-04-14,12.33,,25.21,5.75,28.67,1000.0,CNY,245,2025-03-24
RU000A1076U8,TQOY,РУСАЛ 1Р5,2025-03-24,97.6,97.9,96.8,98.2973,97.487,1673,1630957.82,9.19,9.3,2026-05-08,13.03,,24.96,6.7,33.41,1000.0,CNY,245,2025-03-24
RU000A107RH8,TQOY,РУСАЛ 1Р6,2025-03-24,97.4199,97.3723,97.2101,97.9759,96.9033,3328,3241933.73,9.55,10.0,2026-08-05,15.8,,9.27,7.2,17.95,1000.0,CNY,245,2025-03-24
KG000A3LSJ06,TQCB,Кыргыз. 02,2025-03-25,95.97,95.95,95.49,96.0,95.79,1845,176737.15,21.61,21.92,2025-12-26,8.83,,3.5847,14.5,3.63,100.0,RUB,58,2025-03-25
RU000A0JS4Z7,TQCB,ВЭБ.РФ 21,2025-03-25,103.7,103.47,103.33,103.73,103.69,126,130646.6,17.93,17.93,2032-02-17,24.63,,14.69,19.15,95.49,1000.0,RUB,58,2025-03-25
RU000A0JSGV0,TQCB,РЖД-32 обл,2025-03-25,91.04,91.64,90.97,91.64,91.28,53,48376.9,18.75,18.5,2032-06-25,14.57,,21.75,9.8,48.87,1000.0,RUB,58,2025-03-25
RU000A0JTU85,TQCB,РЖД-28 обл,2025-03-25,101.8,100.6,100.57,101.9,101.55,1248191,1267549561.3,18.05,18.17,2028-03-21,29.67,2025-03-28,0.0,15.0,74.79,1000.0,RUB,58,2025-03-25
RU000A0JUAH8,TQCB,РЖД-30 обл,2025-03-25,101.5,101.5,101.36,101.5,101.41,225,228166.3,20.64,20.81,2028-11-07,7.07,,81.99,22.5,112.19,1000.0,RUB,58,2025-03-25
RU000A105104,TQOY,РУСАЛ БО05,2025-03-25,100.09,100.0975,100.0,100.0975,100.1148,34,34024.24,8.34,8.27,2027-07-28,4.2,2025-08-04,12.81,8.5,42.38,1000.0,CNY,245,2025-03-25
RU000A105112,TQOY,РУСАЛ БО06,2025-03-25,100.2825,99.9101,99.91,100.3447,100.237,11,11009.39,7.75,7.89,2027-07-28,4.2,2025-08-04,12.81,8.5,42.38,1000.0,CNY,245,2025-03-25
RU000A1054W1,TQOY,Полюс Б1P2,2025-03-25,93.0499,92.27,92.2006,93.4996,93.871,918,851967.41,7.1,6.7,2027-08-24,28.2,,2.92,3.8,18.95,1000.0,CNY,245,2025-03-25
