date,KG000A3LSJ06,RU000A0JS4Z7,RU000A0JSGV0,RU000A0JTU85,RU000A0JUAH8,RU000A0JVA10,RU000A105104,RU000A105112,RU000A1054W1,RU000A1057D4,RU000A1057S2,RU000A105C44,RU000A105EW9,RU000A105M75,RU000A105N25,RU000A1060Q0,RU000A1061L9,RU000A1071S3,RU000A1076U8,RU000A107RH8
2024-03-15,15.36,14.94,14.67,8.23,17.08,15.7,7.71,6.78,5.77,5.8,5.92,5.91,15.34,5.21,9.42,5.77,5.78,5.88,6.73,7.39
2024-03-16,15.36,14.94,14.67,8.23,17.08,15.7,7.71,6.78,5.77,5.8,5.92,5.91,15.34,5.21,9.42,5.77,5.78,5.88,6.73,7.39
2024-03-17,15.36,14.94,14.67,8.23,17.08,15.7,7.71,6.78,5.77,5.8,5.92,5.91,15.34,5.21,9.42,5.77,5.78,5.88,6.73,7.39
2024-03-18,15.74,14.98,15.01,12.37,15.63,15.78,7.09,7.24,5.77,5.8,5.21,6.03,15.22,5.66,8.86,5.72,5.79,5.88,6.81,7.39
2024-03-19,15.64,14.63,15.07,8.72,16.59,15.84,7.0,7.71,5.78,5.84,5.4,6.11,15.04,6.12,8.63,5.79,5.52,5.83,6.88,7.39
2024-03-20,15.74,13.82,14.94,8.31,15.61,15.82,7.14,7.14,5.78,5.9,5.22,6.13,14.76,5.6,8.73,5.78,5.37,5.88,6.73,7.39
2024-03-21,15.89,15.34,14.79,9.72,15.44,15.82,7.16,6.93,5.77,5.8,5.08,6.35,14.93,5.03,8.6,5.78,5.27,5.85,6.68,7.39
2024-03-22,15.9,15.43,13.97,15.6,17.12,15.23,6.96,6.93,5.73,5.75,5.46,6.61,15.39,,8.44,5.8,5.73,5.85,6.91,7.39
2024-03-23,15.9,15.43,13.97,15.6,17.12,15.23,6.96,6.93,5.73,5.75,5.46,6.61,15.39,,8.44,5.8,5.73,5.85,6.91,7.39
2024-03-24,15.9,15.43,13.97,15.6,17.12,15.23,6.96,6.93,5.73,5.75,5.46,6.61,15.39,,8.44,5.8,5.73,5.85,6.91,7.39
2024-03-25,15.41,15.52,14.82,15.35,15.75,15.67,7.73,6.95,5.72,5.78,5.48,6.6,15.44,5.05,8.5,5.78,5.79,5.84,6.81,7.38
2024-03-26,15.47,15.47,14.85,15.56,15.59,15.81,7.45,6.98,5.81,5.81,5.3,7.02,15.47,5.49,8.44,5.84,5.69,5.84,6.97,7.4
2024-03-27,15.55,14.69,14.47,15.44,15.94,15.65,7.88,7.57,5.75,5.75,5.28,6.34,15.61,5.05,8.45,5.92,5.36,5.85,6.82,7.37
2024-03-28,16.65,14.4,14.24,15.5,15.52,15.54,7.41,8.1,5.78,5.85,5.87,6.34,15.47,5.11,8.85,5.87,5.79,5.85,6.81,7.37
2024-03-29,16.14,15.78,14.66,15.49,15.2,16.14,7.85,7.43,5.77,5.79,5.33,6.62,15.57,5.51,8.55,5.8,5.47,5.85,7.02,7.37
2024-03-30,16.14,15.78,14.66,15.49,15.2,16.14,7.85,7.43,5.77,5.79,5.33,6.62,15.57,5.51,8.55,5.8,5.47,5.85,7.02,7.37
2024-03-31,16.14,15.78,14.66,15.49,15.2,16.14,7.85,7.43,5.77,5.79,5.33,6.62,15.57,5.51,8.55,5.8,5.47,5.85,7.02,7.37
2024-04-01,16.08,15.61,15.11,14.62,16.17,15.79,8.12,8.12,5.77,5.85,5.57,6.95,15.72,4.86,8.45,5.79,5.37,5.85,6.91,7.37
2024-04-02,15.8,15.42,14.54,14.7,16.74,15.31,8.96,9.09,5.86,5.84,5.52,7.68,15.66,5.77,8.6,5.88,5.75,5.83,7.02,7.39
2024-04-03,15.8,15.46,14.31,15.06,15.66,15.2,8.51,7.37,5.83,5.77,5.43,7.1,15.58,4.88,8.55,5.94,5.57,5.84,7.19,7.4
2024-04-04,15.69,15.54,14.48,14.99,17.08,15.84,8.34,7.37,5.79,5.73,5.43,6.41,15.4,,8.61,5.92,5.94,5.84,7.01,7.4
2024-04-05,15.96,15.91,14.14,15.36,15.52,15.19,8.27,7.82,5.86,5.93,5.43,6.43,15.59,,8.38,5.91,6.12,5.85,7.03,7.4
2024-04-06,15.96,15.91,14.14,15.36,15.52,15.19,8.27,7.82,5.86,5.93,5.43,6.43,15.59,,8.38,5.91,6.12,5.85,7.03,7.4
2024-04-07,15.96,15.91,14.14,15.36,15.52,15.19,8.27,7.82,5.86,5.93,5.43,6.43,15.59,,8.38,5.91,6.12,5.85,7.03,7.4
2024-04-08,15.98,15.78,14.84,15.21,15.64,15.22,8.48,8.38,5.88,5.74,5.28,6.68,15.86,5.21,8.37,5.89,6.11,5.84,7.24,7.4
2024-04-09,15.94,15.44,14.21,15.04,17.3,15.49,8.53,8.42,5.73,5.74,5.68,6.42,15.71,5.21,8.51,5.95,5.56,5.84,7.01,7.39
2024-04-10,15.83,14.78,14.58,14.98,16.29,15.32,9.03,8.78,5.85,5.9,5.25,7.67,15.82,5.22,8.59,6.0,5.9,5.84,6.95,7.4
