date,open,high,low,close,volume,SMA,EMA,RSI,MACD,MACD_signal,MACD_diff,BB_upper,BB_lower,BB_middle
2024-07-05,0.02059,0.02071,0.0202,0.02027,9354006,0.02036325,0.020489853183484414,48.19775187559925,0.00018811503201994137,0.00023033891791323182,-4.222388589329045e-05,0.02185087654923875,0.01887562345076125,0.02036325
2024-07-08,0.0203,0.020505,0.019785,0.01993,8753734,0.0203485,0.020436533832676376,44.22546249948992,0.00012032115847095473,0.0002083353660247764,-8.801420755382168e-05,0.02184712637104783,0.018849873628952168,0.0203485
2024-07-15,100.0,100.0,91.94,92.95,97984027,4.66682875,8.870871149658136,99.99770098424236,7.413290792383942,1.4828248267696085,5.930465965614334,45.17392581919491,-35.84026831919491,4.66682875
2024-07-16,92.93,95.34,92.02,95.32,49545775,9.431835,17.10412151635736,99.99776243600277,13.325908218074737,3.8514415050306345,9.474466713044102,65.90558492355706,-47.04191492355705,9.431835
2024-07-17,95.6,96.48,93.34,93.72,33479366,14.116872749999999,24.400871848132848,98.09151125235736,17.678803258509696,6.616913855726447,11.061889402783248,81.23367911967603,-52.99993361967603,14.116872749999999
2024-07-18,93.59,96.13,92.96,95.89,27363977,18.910393499999998,31.20936024354877,98.14320965768736,21.060828680405915,9.505696820662342,11.555131859743573,94.47742663091987,-56.65663963091987,18.910393499999998
2024-07-19,95.89,97.5,95.06,96.33,25117590,23.7259205,37.411325934639365,98.154128251062,23.50565396900944,12.305688250331762,11.199965718677678,105.85389938345548,-58.40205838345548,23.7259205
2024-07-20,95.87,96.98,96.35,96.7,255930,28.559950750000002,43.05786632181657,98.16390585632799,25.182760346473636,14.881102669560137,10.301657676913498,115.76188253575624,-58.641981035756245,28.559950750000002
2024-07-21,96.2,97.77,96.55,97.08,937990,33.412983,48.20283143402452,98.1746002341613,26.24006294595157,17.152894724838426,9.087168221113146,124.4407563869231,-57.614790386923104,33.412983
2024-07-22,96.98,100.1,96.47,99.75,26731660,38.39950575,53.11208558316504,98.25165509469966,26.98239332507587,19.118794444885914,7.863598880189954,132.44039853519024,-55.641387035190235,38.39950575
2024-07-23,99.5,101.43,98.85,100.75,34917676,43.435982249999995,57.6490298133398,98.2809242695686,27.336271618406016,20.762289879589936,6.57398173881608,139.4836364812166,-52.61167198121659,43.435982249999995
2024-07-24,101.15,101.6,99.86,99.9,16873670,48.42989975,61.67293173587887,96.79754798225233,27.234195960833837,22.056671095838716,5.177524864995121,145.31163820717208,-48.451838707172094,48.42989975
2024-07-25,99.7,99.86,97.9,99.2,17614359,53.388836749999996,65.24693823722374,95.51894586619622,26.78802049167234,23.002940975005444,3.7850795166668973,150.00430319918698,-43.22662969918699,53.388836749999996
2024-07-26,99.0,101.02,95.81,96.73,41361366,58.224279749999994,68.24532507177386,90.95359131319017,25.936139192566635,23.589580618517683,2.3465585740489523,153.3404791918491,-36.89191969184911,58.224279749999994
2024-07-27,96.48,97.29,96.4,96.68,310438,63.05722475,70.95338935065254,90.85892176524322,24.969153682525793,23.865495231319308,1.1036584512064849,155.64182619190615,-29.527376691906127,63.05722475
2024-07-28,96.97,96.74,95.7,95.86,508836,67.84916949999999,73.32544750773326,89.21880271248992,23.861582087108886,23.864712602477223,-0.0031305153683369724,156.73421560113857,-21.035876601138597,67.84916949999999
2024-07-29,96.56,96.56,93.17,93.4,28664465,72.51810400000001,75.2373096498539,84.3023334429453,22.525660386003224,23.596902159182424,-1.0712417731791994,156.32622357034933,-11.290015570349311,72.51810400000001
2024-07-30,92.97,99.7,92.97,99.09,73201724,77.4715535,77.50899444510591,86.19699800266211,21.67619853600874,23.212761434547687,-1.5365628985389463,155.03250799283592,-0.08940099283590541,77.4715535
2024-07-31,99.2,99.62,97.15,97.82,58370837,82.36153525,79.4433759265244,83.7667802311454,20.662333000702418,22.702675747778635,-2.0403427470762168,151.6661419566151,13.056928543384913,82.36153525
2024-08-01,97.63,99.73,97.63,98.13,35091806,87.26701,81.22305440971255,83.88620476325504,19.657255068474342,22.093591611917777,-2.436336543443435,145.58161901228064,28.952400987719358,87.26701
2024-08-02,98.06,98.66,96.85,97.69,27340356,92.1504965,82.79133494212087,82.95338304581043,18.610686830193387,21.3970106555729,-2.7863238253795117,134.63024318774444,49.670749812255565,92.1504965
2024-08-03,97.44,97.63,97.31,97.5,331772,97.0245,84.19216018572841,82.52661905910331,17.56348166538416,20.63030485753515,-3.0668231921509914,101.22216828132046,92.82683171867954,97.0245
2024-08-04,97.78,97.69,97.34,97.35,393592,97.24449999999999,85.44528778708761,82.16722192768188,16.530902329247212,19.810424351877565,-3.2795220226303528,101.00318314706145,93.48581685293853,97.24449999999999
2024-08-05,97.5,98.22,94.52,95.36,47977382,97.2465,86.38954609307926,77.35427185847466,15.374768634789518,18.923293208459956,-3.548524573670438,101.00112528090405,93.49187471909595,97.2465
2024-08-06,95.08,97.32,95.54,96.21,28994833,97.371,87.32482741754791,77.94843099641457,14.3615611119547,18.010946789158908,-3.649385677204208,100.80069911216769,93.9413008878323,97.371
2024-08-07,96.3337,98.79,95.2,98.35,44699349,97.494,88.37484385397191,79.41293466909039,13.574785290794026,17.123714489485934,-3.5489291986919085,100.87857323750039,94.10942676249961,97.494
2024-08-08,98.4,99.04,96.19,96.85,26402189,97.52,89.18200158216506,75.62187533419078,12.684008960359932,16.235773383660735,-3.5517644233008028,100.87627770007249,94.1637222999275,97.52
2024-08-09,97.0,97.72,96.55,97.09,16140577,97.5395,89.93514428862552,75.82076697156589,11.860705465457343,15.360759800020057,-3.500054334562714,100.88099352834985,94.19800647165016,97.5395
2024-08-10,97.24,97.35,96.83,97.08,373222,97.5395,90.61560673732785,75.79301978962025,11.079704659303374,14.504548771876722,-3.424844112573348,100.88099352834985,94.19800647165016,97.5395
2024-08-11,97.09,97.09,96.43,96.67,510082,97.38550000000001,91.1922156194871,74.5877978362739,10.30883844753825,13.665406707009028,-3.3565682594707784,100.58622788596655,94.18477211403346,97.38550000000001
2024-08-12,96.69,98.4,96.49,98.03,26453323,97.2495,91.84343317953595,75.95371852924876,9.695893826382814,12.871504130883785,-3.175610304500971,100.07611971266103,94.42288028733897,97.2495
2024-08-13,98.11,100.75,98.03,100.69,37925695,97.289,92.68596335291348,78.39928120499117,9.317365774749547,12.160676459656939,-2.843310684907392,100.27997241712522,94.29802758287478,97.289
2024-08-14,100.79,101.86,99.48,99.81,42613173,97.3195,93.36444303358839,75.65789121737816,8.844417976179315,11.497424762961415,-2.6530067867821003,100.3989316033976,94.24006839660241,97.3195
2024-08-15,100.1,100.48,98.95,99.28,19983641,97.447,93.92782941134188,73.98004855042528,8.330804538824538,10.86410071813404,-2.5332961793095023,100.62773639272478,94.26626360727522,97.447
2024-08-16,99.01,99.58,97.84,97.85,22214018,97.5055,94.30136946740456,69.50151216493522,7.719388831052854,10.235158340717803,-2.515769509664949,100.67065702612112,94.34034297387888,97.5055
2024-08-17,97.45,98.14,97.7,97.98,333482,97.6115,94.65171523241365,69.68120280726977,7.162759557658475,9.620678584105939,-2.4579190264474633,100.68993645378687,94.53306354621314,97.6115
2024-08-18,98.16,98.16,97.54,98.0,280436,97.8415,94.9705994959933,69.7107697702368,6.64662255362974,9.0258673780107,-2.37924482438096,100.23900099061584,95.44399900938416,97.8415
2024-08-19,98.38184579439252,98.9,97.4,98.78,28835135,97.826,95.33339954399393,70.90255736462592,6.228718945873553,8.466437691583272,-2.237718745709719,100.1948511983668,95.45714880163318,97.826
2024-08-20,98.4,100.43,98.21,99.47,32701451,97.90849999999999,95.72736149218498,71.95384866056462,5.885361772322426,7.950222507731103,-2.0648607354086765,100.3833274687347,95.43367253126527,97.90849999999999
2024-08-21,99.29,100.26,98.94,100.19,24926535,98.0115,96.15237468340545,73.04812091260723,5.6067159893712954,7.481521204059142,-1.8748052146878464,100.67862785595365,95.34437214404635,98.0115
2024-08-22,99.8,100.79,95.72,96.64,47032322,97.95899999999999,96.19881518974779,60.51173724564171,5.0413186837614745,6.993480699999608,-1.952162016238134,100.6899478208131,95.22805217918688,97.95899999999999
2024-08-23,97.28,97.63,94.09,96.47,45380680,97.9075,96.22464231453371,59.980875684495835,4.527331408041405,6.5002508416079685,-1.9729194335665632,100.70906295663758,95.10593704336242,97.9075
2024-08-24,96.47,96.93,96.0,96.29,248758,97.8545,96.23086685600668,59.38680260996595,4.058682329821494,6.011937139250674,-1.95325480942918,100.73523237215883,94.97376762784117,97.8545
2024-08-25,96.6,98.46,96.83,98.28,1136697,98.0005,96.42602239352986,63.67079081191447,3.8040007747509605,5.570349866350732,-1.7663490915997713,100.64720719952244,95.35379280047756,98.0005
2024-08-26,97.77,99.24,97.46,99.09,28267164,98.14450000000001,96.67973454652702,65.2763385509071,3.6257288922911215,5.18142567153881,-1.5556967792476888,100.69760379734235,95.59139620265766,98.14450000000001
2024-08-27,99.01,99.64,96.63,96.88,23839709,98.071,96.69880744685777,57.77407650675331,3.268442045437496,4.798828946318547,-1.5303869008810516,100.68022900489855,95.46177099510145,98.071
2024-08-28,97.15,97.29,95.02,97.02,23407089,98.07950000000001,96.7293972138237,58.10258313482924,2.9624373415443443,4.431550625363707,-1.4691132838193628,100.67382823675108,95.48517176324894,98.07950000000001
2024-08-29,97.02,97.4,95.42,96.02,19641299,98.026,96.66183557441192,54.82181856886174,2.609158016938096,4.067072103678585,-1.4579140867404892,100.7410646401152,95.3109353598848,98.026
2024-08-30,96.07,96.33,91.44,91.48,41854049,97.74600000000001,96.16832742446793,42.961430592825046,1.9404729846461493,3.6417522798720983,-1.701279295225949,101.67652362923873,93.81547637076129,97.74600000000001
2024-09-01,91.23,91.4,89.9,90.12,587144,97.4185,95.59229624118527,40.15863069606662,1.2859707743359934,3.1705959787648776,-1.8846252044288843,102.55850107003918,92.2784989299608,97.4185
2024-09-02,89.57,90.96,85.31,86.1,62803784,96.82199999999999,94.68826802773906,33.252833186583885,0.4378454440435604,2.6240458718206146,-2.186200427777054,103.93137859450486,89.71262140549511,96.82199999999999
2024-09-03,85.0,88.92,84.34,86.23,54678152,96.099,93.88271869176391,33.6501863126806,-0.22125953489259587,2.0549847904779726,-2.2762443253705684,104.33903373779526,87.85896626220475,96.099
2024-09-04,86.3,89.3,86.05,89.03,34405859,95.55999999999999,93.42055500683402,41.70042161052851,-0.5117690251144467,1.5416340273594888,-2.0534030524739357,104.16092553159275,86.95907446840722,95.55999999999999
2024-09-05,89.29,89.9,86.95,87.2,36277534,94.95599999999999,92.82812119665935,38.41948285750433,-0.8795269559137466,1.0574018307048418,-1.9369287866185885,104.10624021542627,85.80575978457371,94.95599999999999
2024-09-06,87.57,88.0,86.62,87.3,22312140,94.42850000000001,92.30163346364418,38.70329332725814,-1.1496560816862598,0.6159902482266215,-1.7656463299128813,104.05459427545797,84.80240572454206,94.42850000000001
2024-09-07,86.92,87.61,86.92,87.15,151310,93.887,91.81100170520187,38.41727910710715,-1.3601600282979263,0.220760192921712,-1.5809202212196383,103.86505011011693,83.90894988988308,93.887
2024-09-08,87.33,87.6,87.06,87.25,153357,93.3495,91.37662059042074,38.74228699977202,-1.5016071656341552,-0.12371327878946145,-1.3778938868446937,103.53932134288941,83.1596786571106,93.3495
2024-09-09,87.73,90.99,87.27,90.9,31067780,92.9555,91.33122815323782,49.26685679232212,-1.3041471488390641,-0.359800052799382,-0.9443470960396821,102.88089465210348,83.03010534789652,92.9555
2024-09-10,91.6,92.0,88.15,88.89,28828206,92.4265,91.09873023388184,44.711230676293454,-1.2949218120470363,-0.5468244046489129,-0.7480974073981234,102.02920852416153,82.82379147583848,92.4265
2024-09-11,88.89,89.22,86.88,87.2,22115946,91.777,90.72742259255976,41.256890955989995,-1.407751855163852,-0.7190098947519008,-0.6887419604119511,100.93852192596866,82.61547807403134,91.777
2024-09-12,86.51,87.4,85.28,86.2,29375336,91.25500000000001,90.29623948850644,39.321042209717504,-1.559880785182287,-0.8871840728379781,-0.6726967123443088,100.43837519651706,82.07162480348296,91.25500000000001
2024-09-13,86.58,87.26,84.07,87.14,49479998,90.7885,89.99564525150583,42.07255680773569,-1.5863079436277019,-1.0270088469959229,-0.559299096631779,99.81132056787148,81.76567943212852,90.7885
2024-09-14,86.88,87.56,87.02,87.29,177806,90.33850000000001,89.73796475136243,42.52047117875757,-1.5769695869267935,-1.1370009949820972,-0.4399685919446963,99.11323025226444,81.56376974773558,90.33850000000001
2024-09-15,87.53,88.29,86.97,87.96,336651,89.82249999999999,89.5686347750422,44.58172680010146,-1.4982347537630858,-1.209247746738295,-0.28898700702479085,97.85050317638232,81.79449682361766,89.82249999999999
2024-09-16,88.35,89.51,87.4,88.62,29806886,89.299,89.47828860599056,46.61272808809059,-1.366824445685964,-1.2407630865278287,-0.1260613591581352,96.1154885388303,82.48251146116971,89.299
2024-09-17,88.99,90.27,87.93,90.1,20592830,88.96,89.53749921494384,50.95350668224296,-1.1302286265863728,-1.2186561945395376,0.08842756795316475,94.84547704098867,83.07452295901132,88.96
2024-09-18,90.38,90.81,87.77,87.93,24310692,88.5055,89.38440405161585,45.15615599234005,-1.1050868466469694,-1.195942324961024,0.0908554783140545,93.09156792361439,83.9194320763856,88.5055
2024-09-19,87.52,89.3,87.79,88.53,20409377,88.131,89.30303223717624,46.9533287656011,-1.0249320407497606,-1.1617402681187714,0.13680822736901077,91.16045473641792,85.10154526358208,88.131
2024-09-20,88.97,89.85,88.39,89.35,20258581,88.0245,89.30750535744517,49.39401049486295,-0.8850394487704705,-1.1064001042491112,0.2213606554786407,90.70521986600708,85.34378013399292,88.0245
2024-09-21,89.68,89.65,89.35,89.5,268262,87.99350000000001,89.32583818054563,49.84857796725096,-0.7533852590571115,-1.0357971352107114,0.28241187615359986,90.58957607746866,85.39742392253136,87.99350000000001
2024-09-22,89.05,89.6,89.35,89.44,246586,88.1605,89.33671073477937,49.656438458354295,-0.6464381274120967,-0.9579253336509885,0.3114872062388918,90.67634160868782,85.64465839131218,88.1605
2024-09-23,89.45,92.26,89.29,91.96,36345657,88.447,89.58654780765752,57.13034796049774,-0.35425518236357334,-0.8371913033935056,0.4829361210299322,91.30059492570422,85.59340507429579,88.447
2024-09-24,91.87,93.8,90.94,92.65,36714151,88.628,89.87830515930919,58.928306775569645,-0.066257089435382,-0.6830044606018809,0.6167473711664989,92.0157756714406,85.2402243285594,88.628
2024-09-25,93.15,94.55,90.47,90.83,47688469,88.8095,89.96894276318451,52.6552600369636,0.01495232342215047,-0.5434131037970746,0.5583654272192251,92.26017804931216,85.35882195068784,88.8095
2024-09-26,91.0,91.68,89.98,90.76,23932979,88.98249999999999,90.04428154764314,52.42410841275224,0.07282348935416394,-0.42016578516682695,0.4929892745209909,92.45994662072685,85.50505337927312,88.98249999999999
2024-09-27,91.1,91.39,90.4,90.57,19198517,89.1535,90.09434997167712,51.75992342232196,0.10217755395211725,-0.3156971173430381,0.4178746712951554,92.58979029623585,85.71720970376414,89.1535
2024-09-28,91.09,91.09,90.6,90.88,231825,89.33500000000001,90.16917378389834,52.81042532461885,0.148740680871299,-0.22280955770017072,0.37155023857146974,92.73320835147062,85.9367916485294,89.33500000000001
2024-09-29,91.0,91.06,90.64,91.0,149237,89.34,90.24830009019374,53.234961193284825,0.1930993622937791,-0.13962777370138077,0.3327271359951599,92.74768543149227,85.93231456850773,89.34
2024-09-30,91.05,91.31,89.0,89.03,24809286,89.34700000000001,90.13227151017529,45.92976022565959,0.06850175529095281,-0.09800186790291406,0.16650362319386686,92.75153286076147,85.94246713923854,89.34700000000001
2024-10-01,89.3,89.41,86.57,87.52,38160608,89.363,89.88348374730145,41.25647054370325,-0.15035393971459143,-0.10847228226524953,-0.0418816574493419,92.72982105256645,85.99617894743355,89.363
2024-10-02,87.36,88.05,85.09,86.16,25308792,89.361,89.52886624755845,37.55058597974025,-0.4285986701067941,-0.17249755983355847,-0.2561011102732356,92.73537342331946,85.98662657668055,89.361
2024-10-03,86.2,87.44,84.8,87.23,32108321,89.3655,89.30992660493384,41.96732707724391,-0.5563562375638611,-0.249269295379619,-0.3070869421842421,92.72823385803942,86.00276614196058,89.3655
2024-10-04,87.48,87.58,86.38,86.63,15860941,89.3325,89.05469549970204,40.24833585470989,-0.6979742036619712,-0.33901027703608944,-0.3589639266258817,92.78773877612021,85.87726122387978,89.3325
2024-10-05,86.26,86.85,86.42,86.57,164265,89.263,88.81805783306375,40.07157607280099,-0.8057606534122073,-0.43236035231131303,-0.3734003011008942,92.87809114684606,85.64790885315395,89.263
2024-10-06,86.91,87.19,86.5,86.93,192317,89.1785,88.6382428013434,41.725257414299044,-0.8523083202716464,-0.5163499459033797,-0.3359583743682667,92.92632750403547,85.43067249596453,89.1785
2024-10-07,86.6,87.03,85.45,86.43,17348126,88.995,88.42793396312021,40.07137217445511,-0.918950414588636,-0.596870039640431,-0.3220803749482051,92.90045003808842,85.08954996191159,88.995
2024-10-08,86.23,86.59,85.45,85.85,14101258,88.89099999999999,88.18241644282305,38.18079675821093,-1.0069583185168796,-0.6788876954157207,-0.32807062310115886,93.00932927289753,84.77267072710245,88.89099999999999
2024-10-09,85.63,89.41,85.19,89.79,38496586,88.954,88.33551963874467,54.04302346843318,-0.7501330772240067,-0.6931367717773779,-0.056996305446628814,93.08683631420418,84.82116368579581,88.954
2024-10-10,89.59,89.7,86.0,86.16,66369547,88.7945,88.12832729219755,43.07635361572357,-0.8299408445618042,-0.7204975863342632,-0.10944325822754097,93.09665050875778,84.49234949124222,88.7945
2024-10-11,86.45,86.63,85.32,85.61,17313066,88.6,87.88848659770255,41.69575411407492,-0.9268849261562337,-0.7617750542986573,-0.16510987185757642,93.10398046176988,84.09601953823011,88.6
2024-10-12,85.5,85.84,85.54,85.55,129148,88.4055,87.66577358839754,41.539345139500625,-0.9970618000418199,-0.8088324034472899,-0.18822939659452997,93.08031539742534,83.73068460257467,88.4055
2024-10-13,85.62,85.72,85.48,85.69,158679,88.09200000000001,87.47760467521682,42.085254394991004,-1.029513062487311,-0.8529685352552941,-0.17654452723201686,92.60959493536164,83.57440506463838,88.09200000000001
